index,ax,ay,az,gx,gy,gz,mx,my,mz
0,-0.3125,0.70703125,0.2109375,6.34765625,16.11328125,-36.1328125,0,0,0
1,-0.34375,0.71484375,0.21875,8.7890625,21.484375,-29.296875,0,0,0
2,-0.359375,0.73046875,0.1640625,7.32421875,24.4140625,-24.4140625,0,0,0
3,-0.36328125,0.7421875,0.10546875,3.41796875,23.4375,-20.5078125,0,0,0
4,-0.359375,0.74609375,0.08984375,2.44140625,22.94921875,-16.6015625,0,0,0
5,-0.3515625,0.76953125,0.08984375,4.39453125,24.4140625,-14.6484375,0,0,0
6,-0.359375,0.796875,0.0859375,6.8359375,25.87890625,-11.71875,0,0,0
7,-0.37890625,0.83203125,0.05859375,6.34765625,26.3671875,-6.8359375,0,0,0
8,-0.37890625,0.890625,0.02734375,2.9296875,19.53125,0,0,0,0
9,-0.35546875,0.93359375,0.0390625,-2.44140625,3.90625,8.7890625,0,0,0
10,-0.35546875,0.9453125,0.05078125,-9.765625,-10.7421875,19.04296875,0,0,0
11,-0.39453125,1.0390625,0.0234375,-21.484375,-17.08984375,24.4140625,0,0,0
12,-0.4453125,1.25390625,-0.0078125,-33.69140625,-14.16015625,20.99609375,0,0,0
13,-0.4609375,1.4140625,0.03515625,-33.69140625,-11.23046875,13.671875,0,0,0
14,-0.4609375,1.45703125,0.12109375,-20.5078125,-12.6953125,4.8828125,0,0,0
15,-0.45703125,1.41015625,0.17578125,-2.44140625,-13.671875,-2.44140625,0,0,0
16,-0.421875,1.2890625,0.19921875,14.16015625,-10.25390625,-6.34765625,0,0,0
17,-0.390625,1.1796875,0.20703125,26.85546875,1.46484375,-7.8125,0,0,0
18,-0.37109375,1.1328125,0.2109375,34.1796875,13.671875,-6.8359375,0,0,0
19,-0.3359375,1.11328125,0.22265625,34.66796875,17.08984375,-2.9296875,0,0,0
20,-0.3046875,1.078125,0.21484375,29.78515625,13.671875,3.41796875,0,0,0
21,-0.28515625,1.0078125,0.078125,14.16015625,7.8125,10.25390625,0,0,0
22,-0.25390625,0.92578125,-0.09765625,-9.27734375,5.37109375,17.08984375,0,0,0
23,-0.23828125,0.87109375,-0.11328125,-23.92578125,4.39453125,21.484375,0,0,0
24,-0.2109375,0.84375,-0.04296875,-30.2734375,4.39453125,23.4375,0,0,0
25,-0.1640625,0.8125,0.015625,-33.69140625,5.859375,25.390625,0,0,0
26,-0.1484375,0.76953125,0.05859375,-32.2265625,0.9765625,27.34375,0,0,0
27,-0.140625,0.74609375,0.06640625,-26.85546875,-10.25390625,28.80859375,0,0,0
28,-0.1328125,0.72265625,0.1015625,-21.97265625,-21.484375,28.3203125,0,0,0
29,-0.1484375,0.69921875,0.15625,-19.04296875,-26.85546875,24.90234375,0,0,0
30,-0.20703125,0.6875,0.17578125,-13.671875,-29.78515625,16.6015625,0,0,0
31,-0.2578125,0.66796875,0.20703125,-7.32421875,-31.73828125,3.90625,0,0,0
32,-0.25390625,0.6875,0.24609375,-1.953125,-16.11328125,-12.6953125,0,0,0
33,-0.23828125,0.734375,0.26171875,5.37109375,10.7421875,-29.296875,0,0,0
34,-0.2265625,0.71875,0.2421875,14.16015625,29.296875,-36.62109375,0,0,0
35,-0.19921875,0.6484375,0.203125,27.83203125,42.96875,-35.64453125,0,0,0
36,-0.171875,0.61328125,0.1875,45.41015625,45.41015625,-30.2734375,0,0,0
