motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
Cross Right - 10 Reps,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,0.54714,0.36015,-0.03944,-4.28,-2.31875,-1.5125,0,0,0
1,0.54138,0.36431,-0.04168,-1.76,-2.07875,-2.0325,0,0,0
2,0.55578,0.38127,-0.04168,-0.56,-1.95875,-2.2325,0,0,0
3,0.55674,0.38191,-0.01672,-0.16,-1.91875,-2.1925,0,0,0
4,0.54554,0.39183,-0.03336,-2.16,-1.55875,-1.4725,0,0,0
5,0.53818,0.38799,-0.02024,-3.72,-1.55875,-0.9125,0,0,0
6,0.5401,0.37967,-0.02024,-5.8,-1.75875,0.2875,0,0,0
7,0.53338,0.38447,-0.03112,-5.36,-1.83875,0.9275,0,0,0
8,0.53434,0.38415,-0.02024,-4.28,-2.07875,1.0475,0,0,0
9,0.53018,0.37775,-0.03144,-3.92,-2.15875,1.0875,0,0,0
10,0.51226,0.37775,-0.02216,-5.92,-2.71875,1.2075,0,0,0
11,0.51578,0.38287,-0.03144,-6.92,-2.79875,1.2875,0,0,0
12,0.51578,0.37935,-0.02504,-8.12,-3.35875,0.7675,0,0,0
13,0.52538,0.37519,-0.03464,-8.08,-3.99875,-0.0325,0,0,0
14,0.5225,0.37807,-0.02472,-7.72,-4.39875,-0.4725,0,0,0
15,0.52282,0.38703,-0.04232,-6.8,-5.23875,-1.5525,0,0,0
16,0.5145,0.40239,-0.0308,-7.52,-5.95875,-2.0325,0,0,0
17,0.5145,0.39343,-0.0276,-10.72,-6.91875,-2.0725,0,0,0
18,0.52026,0.38959,-0.02024,-11.88,-7.47875,-2.1525,0,0,0
19,0.53338,0.38223,-0.01416,-12.56,-8.63875,-2.5525,0,0,0
20,0.5257,0.37615,-0.01672,-9.76,-9.35875,-3.3125,0,0,0
21,0.53338,0.38575,-0.00808,-8.12,-9.59875,-3.5525,0,0,0
22,0.5225,0.39343,-0.00808,-7.36,-9.71875,-3.6725,0,0,0
23,0.53082,0.39567,-0.0084,-9.56,-9.71875,-3.3925,0,0,0
24,0.54746,0.38415,-0.01832,-12.72,-9.79875,-3.0325,0,0,0
25,0.53562,0.38607,-0.01896,-13.72,-9.71875,-3.0725,0,0,0
26,0.54266,0.37935,-0.03624,-13.76,-9.51875,-3.3125,0,0,0
27,0.5337,0.38415,-0.03304,-12.32,-9.51875,-3.3925,0,0,0
28,0.53818,0.38831,-0.03112,-11.64,-9.55875,-3.2325,0,0,0
29,0.53338,0.40815,-0.02248,-12.24,-9.83875,-2.2325,0,0,0
30,0.5321,0.40111,-0.03944,-15.64,-10.27875,-0.4325,0,0,0
31,0.53402,0.39119,-0.0388,-18.24,-11.07875,1.3275,0,0,0
32,0.53178,0.37679,-0.03656,-18.48,-11.51875,1.8475,0,0,0
33,0.53818,0.37071,-0.03368,-16.92,-12.55875,2.2075,0,0,0
34,0.53178,0.37615,-0.0564,-14.56,-13.51875,1.9675,0,0,0
35,0.53466,0.37711,-0.05128,-13.84,-13.83875,1.7675,0,0,0
36,0.53146,0.36527,-0.03624,-13.8,-14.11875,1.7275,0,0,0
37,0.53434,0.35823,-0.04008,-14.08,-13.87875,1.8475,0,0,0
38,0.5385,0.34127,-0.03656,-13,-12.87875,0.9275,0,0,0
39,0.53562,0.33391,-0.03368,-11.84,-12.31875,0.1675,0,0,0
40,0.54458,0.34895,-0.02184,-8.88,-10.71875,-1.4325,0,0,0
41,0.54042,0.35887,-0.01736,-6.16,-8.71875,-3.1125,0,0,0
42,0.5513,0.35983,-0.01288,-5.08,-7.75875,-3.7525,0,0,0
43,0.5449,0.38287,-0.0068,-4.12,-5.47875,-4.4725,0,0,0
44,0.54746,0.37519,-0.00296,-4.44,-3.39875,-4.5525,0,0,0
45,0.53818,0.37167,-0.00264,-4.48,-2.51875,-4.5925,0,0,0
46,0.54586,0.36495,0.00056,-3.32,-0.75875,-4.8725,0,0,0
47,0.54746,0.37071,-0.01064,-1,0.80125,-5.3125,0,0,0
48,0.54266,0.38639,-0.0116,0.08,2.20125,-4.8725,0,0,0
49,0.5417,0.39247,-0.01992,-0.16,2.92125,-4.5925,0,0,0
50,0.54362,0.38383,-0.01096,-2.8,4.04125,-3.7525,0,0,0
51,0.54074,0.35311,-0.01704,-5.44,5.28125,-2.9925,0,0,0
52,0.55322,0.35023,-0.0116,-5.24,5.52125,-2.8325,0,0,0
53,0.54938,0.36111,-0.0052,-2.4,5.88125,-2.7525,0,0,0
54,0.5545,0.46255,0.0188,-3.28,6.04125,-1.1125,0,0,0
55,0.55482,0.51439,0.02872,-10.36,6.36125,0.3275,0,0,0
56,0.5673,0.40623,0.03448,-34.44,5.96125,5.2875,0,0,0
57,0.57914,0.25647,-0.00808,-42.8,6.60125,7.4875,0,0,0
58,0.61402,0.27471,-0.02696,-27.56,9.52125,5.9675,0,0,0
59,0.6281,0.27247,0.00664,-18.04,12.08125,4.4075,0,0,0
60,0.85242,0.23087,-0.04392,-5.32,27.84125,-0.3125,0,0,0
61,1.3161,-0.06481,-0.07944,15.96,69.80125,5.2075,0,0,0
62,2.32154,0.05551,0.08376,-36.56,136.00125,44.1675,0,0,0
63,2.66714,-0.57937,-0.12392,-135.2,154.00125,71.6475,0,0,0
64,2.74426,-0.83345,-0.38248,-173.64,155.28125,85.4475,0,0,0
65,2.80378,-0.52721,-0.922,-192.44,164.36125,94.0875,0,0,0
66,2.23802,0.07471,-1.35656,-216.68,180.52124,47.9275,0,0,0
67,1.90714,0.48687,-1.30664,-271.44,187.96124,11.8875,0,0,0
68,1.46714,0.45775,-1.13096,-400.48,236.84125,-102.1525,0,0,0
69,-0.99302,-1.34161,0.03768,-410.16,335.72125,-217.1525,0,0,0
70,-5.4807,0.55087,0.80792,-206.24,373.96124,-275.1125,0,0,0
71,-7.75846,1.21999,0.57208,-150.84,321.52124,-305.6725,0,0,0
72,-3.4967,0.64111,0.20792,-225.28,71.44125,-198.7125,0,0,0
73,-1.06854,-2.45681,0.27384,-119.4,-106.95875,8.0475,0,0,0
74,-1.1143,-0.70769,0.0796,34.52,-89.75875,114.5275,0,0,0
75,-0.42406,0.82191,0.0956,118.04,-50.55875,164.2075,0,0,0
76,0.10362,-1.01809,-0.21064,-42.28,-30.39875,69.8475,0,0,0
77,0.05242,-1.67089,0.1276,-9.08,-2.59875,-5.2725,0,0,0
78,-0.09414,-1.06417,0.36184,59.76,11.00125,-22.1925,0,0,0
79,-0.40454,0.02095,0.62936,122.28,22.48125,-27.5525,0,0,0
80,-0.4583,-0.16849,0.75224,60.16,3.72125,-1.2725,0,0,0
81,-0.4567,-0.28721,0.75832,37.64,-7.23875,12.9675,0,0,0
82,-0.52998,-0.40049,0.81784,50.92,-23.47875,32.0875,0,0,0
83,-0.57318,-0.25457,0.79096,96.76,-40.47875,42.4075,0,0,0
