motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
Upper Cut - Right 10 Reps,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,0.52378,0.34735,-0.16296,7.06334,-2.94384,-5.93264,0,0,0
1,0.5257,0.33647,-0.1604,7.58334,-3.42384,-6.57264,0,0,0
2,0.52986,0.36399,-0.17288,8.38334,-4.18384,-6.81264,0,0,0
3,0.5305,0.36495,-0.1668,7.86334,-4.50384,-6.69264,0,0,0
4,0.53658,0.37903,-0.15432,3.58334,-4.46384,-5.53264,0,0,0
5,0.52538,0.37167,-0.18152,-1.77665,-3.78384,-3.57264,0,0,0
6,0.52922,0.34959,-0.18472,-4.33665,-3.26384,-2.45264,0,0,0
7,0.53306,0.35279,-0.18888,-4.17665,-2.86384,-2.09264,0,0,0
8,0.53466,0.35471,-0.18504,-1.45665,-1.98384,-1.57264,0,0,0
9,0.53018,0.36591,-0.19624,1.18334,-1.14384,-1.45264,0,0,0
10,0.53242,0.36911,-0.18024,1.50334,-0.70384,-1.29264,0,0,0
11,0.52506,0.38063,-0.18568,0.90334,0.89615,-0.89264,0,0,0
12,0.5321,0.36367,-0.17192,-1.21665,1.77615,-0.69264,0,0,0
13,0.53146,0.37519,-0.1844,-2.57665,2.53615,-0.61264,0,0,0
14,0.52922,0.35823,-0.1668,-7.61665,2.37615,-0.81264,0,0,0
15,0.52922,0.34767,-0.1748,-6.85665,2.49615,-1.13264,0,0,0
16,0.53306,0.31983,-0.1764,-5.49665,1.77615,-1.21264,0,0,0
17,0.53946,0.33295,-0.1588,-2.45665,0.53615,-0.77264,0,0,0
18,0.53242,0.34767,-0.16456,0.22334,0.05615,-1.37264,0,0,0
19,0.5337,0.35055,-0.16744,-0.09665,-0.14384,-1.25264,0,0,0
20,0.55098,0.34255,-0.16424,-1.65665,-1.38384,-0.09264,0,0,0
21,0.53626,0.34799,-0.16424,-0.57665,-1.06384,-0.33264,0,0,0
22,0.53658,0.36207,-0.16616,-0.97665,-0.94384,0.10735,0,0,0
23,0.53466,0.36047,-0.17352,-1.93665,-0.98384,0.74735,0,0,0
24,0.52922,0.34831,-0.17544,-3.41665,-0.70384,1.74735,0,0,0
25,0.53018,0.33263,-0.18344,-2.49665,-0.46384,2.50735,0,0,0
26,0.52442,0.35119,-0.16008,0.50334,-0.94384,2.82735,0,0,0
27,0.52442,0.36079,-0.15656,-0.61665,-1.38384,2.78735,0,0,0
28,0.5337,0.35279,-0.14984,-3.57665,-1.74384,3.14735,0,0,0
29,0.5289,0.35439,-0.1524,-4.41665,-1.86384,3.34735,0,0,0
30,0.52794,0.33167,-0.16456,-3.53665,-2.06384,3.06735,0,0,0
31,0.53498,0.34511,-0.1572,-0.33665,-3.06384,2.38735,0,0,0
32,0.53978,0.34191,-0.162,1.10334,-3.30384,1.90735,0,0,0
33,0.53882,0.36367,-0.15752,1.58334,-3.46384,1.18735,0,0,0
34,0.53466,0.36367,-0.1668,-0.93665,-3.38384,0.78735,0,0,0
35,0.5353,0.35663,-0.16456,-4.13665,-3.22384,0.70735,0,0,0
36,0.53658,0.34383,-0.16328,-5.09665,-3.26384,0.66735,0,0,0
37,0.53402,0.33455,-0.16456,-4.05665,-3.14384,0.30735,0,0,0
38,0.53434,0.33167,-0.16936,-1.05665,-3.26384,-0.17264,0,0,0
39,0.53914,0.33615,-0.15944,0.58334,-3.46384,-0.33264,0,0,0
40,0.53178,0.36367,-0.14696,2.18334,-3.70384,-0.61264,0,0,0
41,0.53242,0.37071,-0.16168,-0.33665,-3.86384,-0.65264,0,0,0
