motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-bentoverrows-30,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,-0.109375,-0.96875,-0.140625,0,-3.90625,0,0,0,0
1,-0.125,-0.921875,-0.125,0,-5.859375,0,0,0,0
2,-0.109375,-0.953125,-0.09375,0,0,0,0,0,0
3,-0.09375,-0.90625,-0.078125,-1.953125,0,1.953125,0,0,0
4,-0.109375,-0.984375,-0.109375,0,-3.90625,1.953125,0,0,0
5,-0.140625,-0.984375,-0.234375,0,1.953125,1.953125,0,0,0
6,-0.1875,-1.328125,-0.203125,5.859375,-13.671875,0,0,0,0
7,-0.265625,-1.1875,-0.109375,1.953125,-1.953125,-1.953125,0,0,0
8,-0.125,-1.078125,-0.140625,17.578125,-7.8125,-1.953125,0,0,0
9,-0.1875,-1,-0.078125,21.484375,-5.859375,-3.90625,0,0,0
10,-0.125,-1.109375,-0.046875,31.25,-11.71875,-7.8125,0,0,0
11,-0.046875,-1.078125,0.046875,37.109375,-7.8125,-7.8125,0,0,0
12,-0.0625,-1.03125,0,41.015625,-9.765625,-5.859375,0,0,0
13,-0.0625,-1.0625,0.265625,42.96875,-7.8125,-3.90625,0,0,0
14,-0.015625,-1.015625,0.1875,41.015625,-5.859375,-1.953125,0,0,0
15,-0.015625,-1.015625,0.25,39.0625,-5.859375,0,0,0,0
16,0.015625,-1.015625,0.296875,35.15625,-7.8125,3.90625,0,0,0
17,-0.09375,-0.625,0.34375,-1.953125,3.90625,27.34375,0,0,0
18,-0.09375,-0.625,0.34375,-1.953125,3.90625,27.34375,0,0,0
19,-0.15625,-0.390625,0.265625,-11.71875,7.8125,37.109375,0,0,0
20,-0.328125,-0.359375,0.328125,-11.71875,5.859375,23.4375,0,0,0
21,-0.234375,-0.125,0.1875,-1.953125,0,5.859375,0,0,0
22,-0.140625,-0.421875,0.078125,7.8125,0,0,0,0,0
23,-0.359375,-0.421875,0.25,7.8125,-3.90625,-1.953125,0,0,0
24,-0.265625,-0.578125,0.4375,9.765625,-7.8125,-17.578125,0,0,0
25,-0.15625,-0.625,0.46875,3.90625,-15.625,-19.53125,0,0,0
26,0,-0.90625,0.53125,-7.8125,-5.859375,-19.53125,0,0,0
27,-0.078125,-0.671875,0.359375,-9.765625,0,-13.671875,0,0,0
28,-0.09375,-0.84375,0.359375,-9.765625,0,-13.671875,0,0,0
29,-0.03125,-1.078125,0.46875,-7.8125,1.953125,-9.765625,0,0,0
30,-0.171875,-0.953125,0.203125,-11.71875,-1.953125,-9.765625,0,0,0
31,-0.09375,-1.109375,0.40625,-9.765625,1.953125,-1.953125,0,0,0
32,-0.171875,-1.046875,0.203125,-13.671875,0,0,0,0,0
33,-0.171875,-0.828125,0.265625,-15.625,1.953125,3.90625,0,0,0
34,-0.015625,-0.96875,0.421875,-13.671875,0,5.859375,0,0,0
35,0,-1.0625,0.421875,-13.671875,1.953125,5.859375,0,0,0
36,-0.03125,-1,0.328125,-15.625,3.90625,3.90625,0,0,0
37,-0.125,-0.8125,0,-11.71875,0,5.859375,0,0,0
38,-0.15625,-1.015625,0.171875,-13.671875,0,3.90625,0,0,0
39,-0.078125,-1.015625,0.078125,-13.671875,3.90625,5.859375,0,0,0
40,-0.203125,-0.953125,0,-9.765625,-3.90625,3.90625,0,0,0
41,-0.15625,-0.953125,-0.0625,-9.765625,1.953125,3.90625,0,0,0
42,-0.140625,-0.890625,0,-9.765625,1.953125,5.859375,0,0,0
43,-0.1875,-0.96875,0,-3.90625,0,1.953125,0,0,0
44,-0.1875,-0.96875,-0.03125,-5.859375,-1.953125,0,0,0,0
45,-0.171875,-0.96875,-0.046875,-3.90625,-1.953125,1.953125,0,0,0
46,-0.234375,-0.96875,-0.015625,-3.90625,0,1.953125,0,0,0
47,-0.265625,-0.984375,-0.109375,-3.90625,0,1.953125,0,0,0
48,-0.1875,-1.046875,-0.015625,-1.953125,0,0,0,0,0
49,-0.1875,-1.046875,0.015625,-1.953125,1.953125,0,0,0,0
50,-0.15625,-0.9375,-0.015625,0,0,0,0,0,0
