motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-bicepcurls-20,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,0.4375,-0.859375,-0.109375,0,0,-1.953125,0,0,0
1,0.4375,-0.859375,-0.109375,0,0,-1.953125,0,0,0
2,0.421875,-0.828125,-0.125,0,0,-1.953125,0,0,0
3,0.40625,-0.8125,-0.09375,-1.953125,0,-1.953125,0,0,0
4,0.40625,-0.828125,-0.09375,-1.953125,0,1.953125,0,0,0
5,0.4375,-0.859375,-0.078125,0,0,0,0,0,0
6,0.421875,-0.859375,-0.0625,0,-1.953125,1.953125,0,0,0
7,0.421875,-0.890625,-0.046875,0,-7.8125,0,0,0,0
8,0.4375,-0.875,-0.078125,1.953125,-7.8125,0,0,0,0
9,0.46875,-0.875,-0.109375,3.90625,-15.625,-1.953125,0,0,0
10,0.5,-0.859375,-0.09375,1.953125,-9.765625,-3.90625,0,0,0
11,0.46875,-0.84375,-0.109375,1.953125,-3.90625,-1.953125,0,0,0
12,0.484375,-0.8125,-0.15625,1.953125,-3.90625,0,0,0,0
13,0.484375,-0.828125,-0.15625,1.953125,0,0,0,0,0
14,0.46875,-0.796875,-0.1875,1.953125,0,0,0,0,0
15,0.484375,-0.8125,-0.1875,1.953125,-1.953125,0,0,0,0
16,0.46875,-0.8125,-0.15625,1.953125,0,0,0,0,0
17,0.46875,-0.84375,-0.15625,0,0,0,0,0,0
18,0.453125,-0.828125,-0.109375,0,0,0,0,0,0
19,0.5,-0.84375,-0.125,0,0,0,0,0,0
20,0.515625,-0.84375,-0.078125,0,-1.953125,-1.953125,0,0,0
21,0.53125,-0.84375,-0.125,-1.953125,-1.953125,-1.953125,0,0,0
22,0.546875,-0.828125,-0.078125,-1.953125,0,-1.953125,0,0,0
23,0.5,-0.796875,-0.109375,-5.859375,1.953125,-3.90625,0,0,0
24,0.53125,-0.796875,-0.140625,-5.859375,3.90625,-5.859375,0,0,0
25,0.5625,-0.8125,-0.140625,-5.859375,3.90625,-5.859375,0,0,0
26,0.578125,-0.78125,-0.15625,-5.859375,3.90625,-7.8125,0,0,0
27,0.578125,-0.796875,-0.171875,-5.859375,1.953125,-7.8125,0,0,0
28,0.5625,-0.75,-0.15625,-5.859375,3.90625,-5.859375,0,0,0
29,0.5625,-0.78125,-0.171875,-5.859375,-7.8125,-1.953125,0,0,0
30,0.609375,-0.75,-0.15625,-3.90625,1.953125,0,0,0,0
31,0.5625,-0.71875,-0.21875,-3.90625,5.859375,3.90625,0,0,0
32,0.5625,-0.71875,-0.21875,-1.953125,5.859375,3.90625,0,0,0
33,0.53125,-0.765625,-0.25,0,-1.953125,5.859375,0,0,0
34,0.546875,-0.78125,-0.25,1.953125,-1.953125,5.859375,0,0,0
35,0.5625,-0.78125,-0.1875,1.953125,1.953125,7.8125,0,0,0
36,0.546875,-0.78125,-0.203125,0,5.859375,7.8125,0,0,0
37,0.484375,-0.796875,-0.203125,1.953125,3.90625,9.765625,0,0,0
38,0.484375,-0.78125,-0.234375,3.90625,1.953125,7.8125,0,0,0
39,0.546875,-0.78125,-0.203125,1.953125,0,3.90625,0,0,0
40,0.546875,-0.8125,-0.21875,0,0,1.953125,0,0,0
41,0.46875,-0.828125,-0.171875,0,0,1.953125,0,0,0
42,0.46875,-0.828125,-0.171875,0,1.953125,1.953125,0,0,0
43,0.53125,-0.8125,-0.140625,-3.90625,0,-3.90625,0,0,0
44,0.59375,-0.796875,-0.265625,-5.859375,0,-7.8125,0,0,0
45,0.5625,-0.796875,-0.265625,-7.8125,0,-11.71875,0,0,0
46,0.65625,-0.75,-0.3125,-11.71875,-1.953125,-19.53125,0,0,0
47,0.71875,-0.734375,-0.328125,-15.625,0,-25.390625,0,0,0
48,0.921875,-0.625,-0.5,-41.015625,0,-56.640625,0,0,0
49,0.890625,-0.515625,-0.515625,-44.921875,0,-62.5,0,0,0
50,0.921875,-0.40625,-0.515625,-46.875,1.953125,-66.40625,0,0,0
51,0.90625,-0.28125,-0.515625,-44.921875,5.859375,-66.40625,0,0,0
52,0.8125,-0.15625,-0.5,-44.921875,3.90625,-64.453125,0,0,0
53,0.78125,-0.109375,-0.4375,-44.921875,1.953125,-62.5,0,0,0
54,0.84375,-0.015625,-0.453125,-41.015625,1.953125,-60.546875,0,0,0
55,0.75,0.203125,-0.46875,-35.15625,0,-54.6875,0,0,0
56,0.71875,0.3125,-0.390625,-31.25,1.953125,-50.78125,0,0,0
57,0.578125,0.578125,-0.25,-19.53125,3.90625,-33.203125,0,0,0
58,0.578125,0.671875,-0.28125,-17.578125,3.90625,-29.296875,0,0,0
59,0.546875,0.671875,-0.1875,-13.671875,1.953125,-23.4375,0,0,0
60,0.46875,0.75,-0.1875,-7.8125,1.953125,-13.671875,0,0,0
61,0.515625,0.734375,-0.171875,-3.90625,3.90625,-3.90625,0,0,0
62,0.5,0.671875,-0.171875,13.671875,0,21.484375,0,0,0
63,0.671875,0.46875,-0.296875,29.296875,0,46.875,0,0,0
64,0.671875,0.46875,-0.296875,31.25,0,48.828125,0,0,0
65,0.75,0.34375,-0.40625,37.109375,0,56.640625,0,0,0
66,0.84375,0.25,-0.421875,37.109375,0,58.59375,0,0,0
67,0.890625,0.078125,-0.515625,37.109375,-1.953125,56.640625,0,0,0
68,0.953125,-0.03125,-0.4375,35.15625,3.90625,56.640625,0,0,0
69,0.96875,-0.1875,-0.453125,33.203125,5.859375,50.78125,0,0,0
70,0.921875,-0.296875,-0.5,33.203125,0,46.875,0,0,0
71,0.859375,-0.53125,-0.3125,25.390625,1.953125,39.0625,0,0,0
72,0.8125,-0.625,-0.40625,23.4375,0,35.15625,0,0,0
73,0.796875,-0.671875,-0.3125,21.484375,0,31.25,0,0,0
74,0.796875,-0.703125,-0.359375,17.578125,1.953125,27.34375,0,0,0
75,0.734375,-0.6875,-0.328125,15.625,0,21.484375,0,0,0
76,0.71875,-0.6875,-0.28125,11.71875,0,17.578125,0,0,0
77,0.71875,-0.703125,-0.3125,9.765625,0,13.671875,0,0,0
78,0.671875,-0.71875,-0.234375,7.8125,0,9.765625,0,0,0
79,0.65625,-0.734375,-0.265625,3.90625,0,5.859375,0,0,0
