motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-deadlift-70,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,-0.25,-0.875,-0.125,0,0,0,0,0,0
1,-0.25,-0.90625,-0.078125,-1.953125,-1.953125,0,0,0,0
2,-0.25,-0.921875,-0.078125,0,-3.90625,0,0,0,0
3,-0.25,-0.9375,-0.078125,-1.953125,-3.90625,0,0,0,0
4,-0.265625,-0.890625,-0.078125,0,-1.953125,0,0,0,0
5,-0.28125,-0.9375,-0.125,-1.953125,0,-1.953125,0,0,0
6,-0.25,-0.875,-0.109375,0,0,0,0,0,0
7,-0.265625,-0.890625,-0.0625,-1.953125,1.953125,0,0,0,0
8,-0.234375,-0.890625,-0.15625,0,0,0,0,0,0
9,-0.265625,-0.875,-0.0625,0,1.953125,0,0,0,0
10,-0.25,-0.890625,-0.171875,0,0,0,0,0,0
11,-0.296875,-0.890625,-0.09375,1.953125,-1.953125,0,0,0,0
12,-0.28125,-0.90625,-0.046875,1.953125,0,0,0,0,0
13,-0.296875,-0.90625,0.046875,5.859375,-19.53125,0,0,0,0
14,-0.265625,-0.84375,0.078125,5.859375,-19.53125,0,0,0,0
15,-0.234375,-0.953125,-0.015625,1.953125,-5.859375,0,0,0,0
16,-0.28125,-0.9375,-0.078125,3.90625,-9.765625,0,0,0,0
17,-0.265625,-0.875,-0.03125,1.953125,-9.765625,0,0,0,0
18,-0.3125,-0.890625,0.046875,0,-1.953125,-1.953125,0,0,0
19,-0.296875,-0.96875,-0.03125,0,-1.953125,-1.953125,0,0,0
20,-0.234375,-0.859375,0.078125,0,-7.8125,-1.953125,0,0,0
21,-0.296875,-0.921875,0.078125,0,-1.953125,-1.953125,0,0,0
22,-0.21875,-0.921875,-0.09375,0,0,0,0,0,0
23,-0.234375,-0.90625,0,0,-1.953125,0,0,0,0
24,-0.265625,-0.890625,0.0625,0,-5.859375,0,0,0,0
25,-0.296875,-0.96875,0,0,0,0,0,0,0
26,-0.234375,-0.96875,0.09375,0,1.953125,0,0,0,0
27,-0.296875,-1.125,0.03125,7.8125,-15.625,0,0,0,0
28,-0.21875,-0.984375,0.21875,3.90625,0,0,0,0,0
29,-0.234375,-1,0.15625,7.8125,-1.953125,-1.953125,0,0,0
30,-0.28125,-1,0,7.8125,-5.859375,-1.953125,0,0,0
31,-0.21875,-1.0625,-0.046875,7.8125,0,-1.953125,0,0,0
32,-0.203125,-1.046875,0.140625,0,0,1.953125,0,0,0
33,-0.203125,-1.046875,0.140625,0,0,1.953125,0,0,0
34,-0.34375,-1.140625,-0.015625,0,-5.859375,0,0,0,0
35,-0.25,-1.0625,0.1875,-3.90625,-3.90625,0,0,0,0
36,-0.28125,-1.015625,0.09375,1.953125,-7.8125,0,0,0,0
37,-0.203125,-1.03125,0.203125,-1.953125,-13.671875,5.859375,0,0,0
38,-0.28125,-0.921875,0.03125,1.953125,0,1.953125,0,0,0
39,-0.21875,-0.875,0.203125,0,-9.765625,7.8125,0,0,0
40,-0.265625,-0.828125,0.078125,1.953125,-13.671875,7.8125,0,0,0
41,-0.234375,-0.390625,0.234375,17.578125,-3.90625,0,0,0,0
42,-0.0625,-0.375,0.078125,15.625,-7.8125,0,0,0,0
43,-0.03125,-0.5,0.125,13.671875,-1.953125,0,0,0,0
44,-0.3125,-0.75,0.046875,1.953125,-7.8125,1.953125,0,0,0
45,-0.25,-0.84375,0.390625,0,0,0,0,0,0
46,-0.296875,-0.90625,0.25,1.953125,-5.859375,0,0,0,0
47,-0.234375,-0.875,0.4375,0,0,0,0,0,0
48,-0.296875,-0.90625,0.234375,3.90625,-1.953125,0,0,0,0
49,-0.25,-0.84375,0.3125,0,0,0,0,0,0
50,-0.25,-0.84375,0.3125,0,0,0,0,0,0
51,-0.296875,-0.859375,0.28125,0,-3.90625,0,0,0,0
52,-0.25,-0.890625,0.296875,0,0,0,0,0,0
53,-0.3125,-0.875,0.296875,0,-1.953125,0,0,0,0
54,-0.28125,-0.875,0.265625,0,-1.953125,0,0,0,0
55,-0.25,-0.859375,0.328125,-1.953125,0,0,0,0,0
56,-0.28125,-0.875,0.25,0,-1.953125,0,0,0,0
57,-0.25,-0.859375,0.328125,0,0,0,0,0,0
58,-0.296875,-0.890625,0.28125,0,-1.953125,-1.953125,0,0,0
59,-0.25,-0.890625,0.296875,0,0,0,0,0,0
60,-0.234375,-0.875,0.3125,0,0,0,0,0,0
61,-0.265625,-0.875,0.265625,0,0,0,0,0,0
62,-0.234375,-0.875,0.296875,0,0,0,0,0,0
63,-0.265625,-0.875,0.265625,0,0,0,0,0,0
64,-0.25,-0.875,0.296875,0,0,0,0,0,0
65,-0.25,-0.875,0.296875,0,0,0,0,0,0
66,-0.234375,-0.875,0.3125,0,0,0,0,0,0
67,-0.234375,-0.875,0.28125,0,0,0,0,0,0
68,-0.234375,-0.875,0.28125,0,0,0,0,0,0
69,-0.234375,-0.875,0.296875,0,0,0,0,0,0
70,-0.234375,-0.875,0.296875,0,0,0,0,0,0
71,-0.21875,-0.875,0.296875,0,0,0,0,0,0
72,-0.25,-0.875,0.28125,0,0,0,0,0,0
73,-0.234375,-0.875,0.296875,0,0,0,0,0,0
74,-0.234375,-0.875,0.296875,0,0,0,0,0,0
75,-0.234375,-0.875,0.28125,0,0,0,0,0,0
