motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-halfsquat-bar,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,0.328125,0.84375,0.5,0,0,0,0,0,0
1,0.328125,0.796875,0.546875,0,0,0,0,0,0
2,0.3125,0.8125,0.46875,0,0,0,0,0,0
3,0.3125,0.796875,0.53125,0,0,0,0,0,0
4,0.28125,0.828125,0.484375,0,-1.953125,0,0,0,0
5,0.296875,0.796875,0.515625,0,0,0,0,0,0
6,0.296875,0.84375,0.53125,0,0,0,0,0,0
7,0.3125,0.8125,0.484375,0,0,0,0,0,0
8,0.328125,0.796875,0.546875,-1.953125,0,0,0,0,0
9,0.3125,0.84375,0.5,-1.953125,0,0,0,0,0
10,0.3125,0.84375,0.53125,-1.953125,1.953125,-1.953125,0,0,0
11,0.3125,0.828125,0.515625,-5.859375,1.953125,-1.953125,0,0,0
12,0.296875,0.765625,0.5,-1.953125,-1.953125,-1.953125,0,0,0
13,0.296875,0.75,0.53125,0,0,0,0,0,0
14,0.265625,0.796875,0.546875,0,0,0,0,0,0
15,0.28125,0.78125,0.5625,0,0,0,0,0,0
16,0.28125,0.78125,0.515625,0,-1.953125,0,0,0,0
17,0.296875,0.765625,0.484375,1.953125,-5.859375,0,0,0,0
18,0.328125,0.78125,0.53125,1.953125,-3.90625,0,0,0,0
19,0.296875,0.8125,0.5625,0,-1.953125,0,0,0,0
20,0.3125,0.796875,0.5625,0,0,0,0,0,0
21,0.3125,0.828125,0.46875,-1.953125,0,0,0,0,0
22,0.28125,0.796875,0.515625,-1.953125,-5.859375,-1.953125,0,0,0
23,0.3125,0.78125,0.5,-7.8125,0,-1.953125,0,0,0
24,0.265625,0.75,0.484375,-7.8125,0,-3.90625,0,0,0
25,0.296875,0.65625,0.546875,-3.90625,0,-1.953125,0,0,0
26,0.296875,0.765625,0.578125,-7.8125,0,-1.953125,0,0,0
27,0.3125,0.671875,0.6875,-7.8125,1.953125,0,0,0,0
28,0.3125,0.75,0.59375,-9.765625,3.90625,0,0,0,0
29,0.28125,0.75,0.65625,-3.90625,1.953125,0,0,0,0
30,0.28125,0.75,0.671875,-7.8125,1.953125,0,0,0,0
31,0.265625,0.71875,0.6875,-7.8125,3.90625,0,0,0,0
32,0.25,0.71875,0.609375,-7.8125,1.953125,0,0,0,0
33,0.265625,0.671875,0.65625,-5.859375,0,0,0,0,0
34,0.265625,0.65625,0.6875,-1.953125,0,0,0,0,0
35,0.28125,0.71875,0.75,0,0,1.953125,0,0,0
36,0.28125,0.734375,0.734375,-1.953125,0,0,0,0,0
37,0.28125,0.6875,0.734375,-5.859375,0,0,0,0,0
38,0.28125,0.671875,0.765625,-5.859375,1.953125,0,0,0,0
39,0.28125,0.640625,0.765625,-3.90625,1.953125,0,0,0,0
40,0.28125,0.703125,0.75,-3.90625,1.953125,0,0,0,0
41,0.296875,0.6875,0.84375,0,0,0,0,0,0
42,0.28125,0.65625,0.796875,0,0,0,0,0,0
43,0.265625,0.640625,0.765625,0,0,0,0,0,0
44,0.265625,0.671875,0.78125,0,0,0,0,0,0
45,0.28125,0.65625,0.75,0,1.953125,0,0,0,0
46,0.265625,0.671875,0.734375,0,0,0,0,0,0
47,0.28125,0.671875,0.78125,0,0,0,0,0,0
48,0.265625,0.65625,0.796875,-1.953125,0,0,0,0,0
49,0.265625,0.671875,0.75,-1.953125,1.953125,0,0,0,0
50,0.25,0.640625,0.734375,0,0,0,0,0,0
51,0.28125,0.6875,0.765625,0,0,0,0,0,0
52,0.25,0.65625,0.796875,0,0,0,0,0,0
53,0.25,0.671875,0.765625,0,0,0,0,0,0
54,0.25,0.625,0.828125,0,0,1.953125,0,0,0
55,0.25,0.671875,0.8125,0,1.953125,0,0,0,0
56,0.265625,0.703125,0.765625,-1.953125,1.953125,0,0,0,0
57,0.265625,0.703125,0.78125,0,0,0,0,0,0
58,0.28125,0.6875,0.859375,-1.953125,0,0,0,0,0
59,0.25,0.6875,0.8125,0,0,0,0,0,0
60,0.265625,0.671875,0.8125,3.90625,0,1.953125,0,0,0
61,0.25,0.6875,0.78125,1.953125,1.953125,0,0,0,0
62,0.25,0.625,0.78125,5.859375,0,1.953125,0,0,0
63,0.25,0.703125,0.71875,3.90625,0,0,0,0,0
64,0.28125,0.703125,0.703125,9.765625,0,3.90625,0,0,0
65,0.25,0.703125,0.625,7.8125,0,0,0,0,0
