motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-pullover-30,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,0.125,0.984375,-0.078125,0,0,0,0,0,0
1,0.140625,0.984375,-0.109375,0,0,0,0,0,0
2,0.125,0.96875,-0.078125,0,0,0,0,0,0
3,0.140625,0.96875,-0.09375,0,0,0,0,0,0
4,0.125,1,-0.078125,0,0,0,0,0,0
5,0.140625,0.984375,-0.078125,0,0,0,0,0,0
6,0.140625,0.984375,-0.09375,0,0,0,0,0,0
7,0.140625,0.984375,-0.078125,0,0,0,0,0,0
8,0.140625,0.984375,-0.09375,0,0,0,0,0,0
9,0.15625,0.984375,-0.109375,0,0,0,0,0,0
10,0.140625,0.96875,-0.078125,0,0,0,0,0,0
11,0.15625,0.96875,-0.09375,0,0,0,0,0,0
12,0.140625,0.984375,-0.09375,0,0,0,0,0,0
13,0.140625,0.984375,-0.125,0,0,0,0,0,0
14,0.125,0.984375,-0.078125,1.953125,-1.953125,0,0,0,0
15,0.125,0.984375,-0.078125,1.953125,-1.953125,0,0,0,0
16,0.125,0.953125,-0.046875,3.90625,-1.953125,0,0,0,0
17,0.15625,0.96875,-0.046875,3.90625,0,0,0,0,0
18,0.140625,0.984375,-0.03125,5.859375,0,1.953125,0,0,0
19,0.125,0.984375,-0.078125,7.8125,0,0,0,0,0
20,0.15625,0.953125,-0.0625,7.8125,0,1.953125,0,0,0
21,0.140625,0.953125,-0.078125,9.765625,0,1.953125,0,0,0
22,0.171875,0.96875,-0.09375,11.71875,0,1.953125,0,0,0
23,0.15625,0.953125,-0.078125,13.671875,0,1.953125,0,0,0
24,0.171875,0.921875,-0.28125,19.53125,0,3.90625,0,0,0
25,0.203125,0.875,-0.25,21.484375,-1.953125,5.859375,0,0,0
26,0.171875,0.921875,-0.265625,21.484375,0,3.90625,0,0,0
27,0.21875,0.890625,-0.359375,21.484375,0,3.90625,0,0,0
28,0.21875,0.890625,-0.328125,21.484375,0,5.859375,0,0,0
29,0.25,0.859375,-0.328125,19.53125,1.953125,5.859375,0,0,0
30,0.25,0.796875,-0.390625,19.53125,1.953125,5.859375,0,0,0
31,0.234375,0.796875,-0.53125,19.53125,0,5.859375,0,0,0
32,0.234375,0.78125,-0.46875,17.578125,0,3.90625,0,0,0
33,0.265625,0.765625,-0.578125,15.625,-1.953125,3.90625,0,0,0
34,0.265625,0.765625,-0.578125,15.625,0,3.90625,0,0,0
35,0.28125,0.703125,-0.640625,13.671875,0,3.90625,0,0,0
36,0.296875,0.6875,-0.640625,11.71875,0,1.953125,0,0,0
37,0.296875,0.671875,-0.625,13.671875,0,1.953125,0,0,0
38,0.296875,0.703125,-0.6875,11.71875,-1.953125,1.953125,0,0,0
39,0.3125,0.6875,-0.625,11.71875,0,1.953125,0,0,0
40,0.328125,0.671875,-0.640625,11.71875,0,1.953125,0,0,0
41,0.296875,0.640625,-0.703125,11.71875,-1.953125,1.953125,0,0,0
42,0.28125,0.59375,-0.703125,9.765625,-1.953125,1.953125,0,0,0
43,0.28125,0.5625,-0.734375,9.765625,0,1.953125,0,0,0
44,0.3125,0.59375,-0.71875,9.765625,0,1.953125,0,0,0
45,0.28125,0.53125,-0.78125,11.71875,0,1.953125,0,0,0
46,0.296875,0.5,-0.75,11.71875,-1.953125,3.90625,0,0,0
47,0.296875,0.484375,-0.765625,11.71875,-1.953125,1.953125,0,0,0
48,0.328125,0.5,-0.765625,11.71875,0,1.953125,0,0,0
49,0.3125,0.40625,-0.875,9.765625,0,3.90625,0,0,0
50,0.265625,0.40625,-0.859375,7.8125,0,1.953125,0,0,0
51,0.328125,0.375,-0.875,9.765625,0,3.90625,0,0,0
52,0.296875,0.390625,-0.84375,7.8125,1.953125,1.953125,0,0,0
53,0.3125,0.359375,-0.890625,5.859375,0,3.90625,0,0,0
54,0.359375,0.3125,-0.875,5.859375,0,3.90625,0,0,0
55,0.3125,0.3125,-0.84375,5.859375,1.953125,1.953125,0,0,0
56,0.390625,0.296875,-0.90625,7.8125,-1.953125,5.859375,0,0,0
57,0.28125,0.296875,-0.84375,7.8125,0,1.953125,0,0,0
58,0.359375,0.234375,-0.859375,5.859375,0,3.90625,0,0,0
59,0.34375,0.265625,-0.921875,5.859375,1.953125,1.953125,0,0,0
60,0.359375,0.21875,-0.921875,5.859375,-5.859375,3.90625,0,0,0
61,0.328125,0.234375,-0.84375,5.859375,0,1.953125,0,0,0
62,0.34375,0.234375,-0.875,5.859375,0,1.953125,0,0,0
63,0.34375,0.234375,-0.84375,5.859375,-1.953125,1.953125,0,0,0
64,0.328125,0.203125,-0.828125,7.8125,0,0,0,0,0
65,0.46875,0.21875,-0.859375,5.859375,1.953125,3.90625,0,0,0
66,0.40625,0.078125,-0.921875,7.8125,0,1.953125,0,0,0
67,0.3125,0.109375,-0.953125,5.859375,1.953125,0,0,0,0
