motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-shoulderpress-30,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,0.1875,0.96875,0.0625,0,0,0,0,0,0
1,0.1875,1,0.046875,0,0,0,0,0,0
2,0.1875,1,0.046875,0,0,0,0,0,0
3,0.1875,0.96875,0.046875,0,0,0,0,0,0
4,0.171875,0.984375,0.03125,0,0,0,0,0,0
5,0.1875,0.96875,0.046875,0,0,0,0,0,0
6,0.203125,0.984375,0.0625,0,0,0,0,0,0
7,0.1875,0.96875,0.0625,0,0,0,0,0,0
8,0.1875,0.921875,0.0625,1.953125,0,-1.953125,0,0,0
9,0.140625,0.921875,0.03125,3.90625,0,-3.90625,0,0,0
10,0.1875,0.90625,0.046875,1.953125,0,-3.90625,0,0,0
11,0.171875,0.96875,0.046875,7.8125,0,-3.90625,0,0,0
12,0.09375,1.015625,0,7.8125,-1.953125,-5.859375,0,0,0
13,0.078125,0.9375,-0.015625,7.8125,-1.953125,-7.8125,0,0,0
14,0.15625,0.859375,-0.015625,5.859375,0,-5.859375,0,0,0
15,0.0625,0.875,-0.015625,5.859375,0,-9.765625,0,0,0
16,0.140625,0.90625,-0.015625,7.8125,0,-7.8125,0,0,0
17,0.0625,0.84375,-0.15625,9.765625,0,-11.71875,0,0,0
18,-0.109375,0.984375,-0.203125,1.953125,0,-9.765625,0,0,0
19,-0.046875,0.90625,-0.015625,1.953125,0,-7.8125,0,0,0
20,-0.015625,1,-0.171875,1.953125,0,-7.8125,0,0,0
21,-0.0625,1,-0.15625,0,0,-5.859375,0,0,0
22,-0.046875,1.03125,-0.09375,0,0,-3.90625,0,0,0
23,0,0.921875,-0.078125,-1.953125,0,-7.8125,0,0,0
24,-0.03125,0.9375,-0.03125,-3.90625,1.953125,-7.8125,0,0,0
25,-0.09375,0.984375,-0.078125,-3.90625,1.953125,-7.8125,0,0,0
26,-0.203125,0.984375,-0.109375,-7.8125,0,-1.953125,0,0,0
27,-0.203125,0.984375,-0.109375,-7.8125,0,-1.953125,0,0,0
28,-0.140625,0.921875,0,-5.859375,0,0,0,0,0
29,-0.140625,1.03125,-0.109375,-5.859375,0,1.953125,0,0,0
30,-0.125,0.953125,0,-5.859375,-1.953125,1.953125,0,0,0
31,-0.15625,1.015625,-0.046875,-11.71875,0,3.90625,0,0,0
32,-0.171875,1,0,-13.671875,0,1.953125,0,0,0
33,-0.140625,0.984375,0.03125,-15.625,0,1.953125,0,0,0
34,-0.125,1,-0.015625,-17.578125,0,1.953125,0,0,0
35,-0.125,0.9375,0.109375,-17.578125,0,1.953125,0,0,0
36,-0.09375,1,0.203125,-15.625,0,9.765625,0,0,0
37,-0.09375,1.015625,0.171875,-15.625,0,11.71875,0,0,0
38,-0.09375,1.0625,0.234375,-13.671875,0,9.765625,0,0,0
39,-0.078125,1.046875,0.25,-11.71875,0,7.8125,0,0,0
40,-0.078125,1.046875,0.25,-9.765625,0,5.859375,0,0,0
41,-0.015625,1.015625,0.234375,-3.90625,0,3.90625,0,0,0
42,-0.015625,1.03125,0.234375,-3.90625,0,1.953125,0,0,0
43,-0.078125,1.203125,0.21875,3.90625,1.953125,-7.8125,0,0,0
44,-0.078125,1.203125,0.21875,5.859375,0,-9.765625,0,0,0
45,-0.09375,1.28125,0.265625,13.671875,1.953125,-15.625,0,0,0
46,-0.140625,1.375,0.203125,21.484375,3.90625,-21.484375,0,0,0
47,-0.140625,1.28125,0.171875,27.34375,1.953125,-23.4375,0,0,0
48,-0.140625,1.21875,0.171875,29.296875,1.953125,-23.4375,0,0,0
49,-0.15625,1.140625,0.140625,25.390625,0,-21.484375,0,0,0
50,-0.1875,1.0625,0.140625,19.53125,0,-15.625,0,0,0
51,-0.203125,0.9375,0.125,3.90625,-1.953125,-5.859375,0,0,0
52,-0.203125,0.9375,0.09375,-1.953125,0,-1.953125,0,0,0
53,-0.21875,0.78125,0.28125,-5.859375,0,9.765625,0,0,0
54,-0.171875,0.875,0.265625,-5.859375,3.90625,7.8125,0,0,0
55,-0.234375,0.859375,0.21875,-3.90625,5.859375,7.8125,0,0,0
56,-0.1875,0.984375,0.171875,-3.90625,5.859375,13.671875,0,0,0
57,-0.125,0.90625,0.125,-3.90625,1.953125,19.53125,0,0,0
58,-0.078125,0.890625,0.21875,-5.859375,0,21.484375,0,0,0
59,0.046875,0.8125,0.140625,-9.765625,-3.90625,19.53125,0,0,0
60,0.046875,0.8125,0.140625,-9.765625,-5.859375,19.53125,0,0,0
61,0.09375,0.890625,0.15625,-5.859375,-3.90625,11.71875,0,0,0
62,0.15625,0.921875,0.140625,-3.90625,0,7.8125,0,0,0
63,0.15625,0.953125,0.125,0,0,0,0,0,0
64,0.125,0.890625,0.203125,1.953125,-3.90625,0,0,0,0
65,0.171875,0.953125,0.15625,3.90625,-1.953125,-1.953125,0,0,0
66,0.15625,0.875,0.1875,5.859375,-5.859375,-3.90625,0,0,0
67,0.109375,0.90625,0.171875,9.765625,-5.859375,-5.859375,0,0,0
68,0.125,0.953125,0.15625,17.578125,0,-11.71875,0,0,0
69,0.140625,0.6875,0.109375,19.53125,-5.859375,-9.765625,0,0,0
70,0.03125,0.9375,0.109375,17.578125,1.953125,-13.671875,0,0,0
71,0.125,0.984375,0.0625,19.53125,0,-13.671875,0,0,0
72,0.046875,0.90625,0.046875,15.625,0,-13.671875,0,0,0
73,-0.015625,1.125,0.0625,9.765625,3.90625,-13.671875,0,0,0
74,0.046875,1.046875,0.09375,7.8125,3.90625,-9.765625,0,0,0
75,-0.015625,1.03125,-0.0625,7.8125,3.90625,-9.765625,0,0,0
76,-0.078125,0.921875,-0.015625,1.953125,3.90625,-5.859375,0,0,0
77,-0.109375,0.921875,0,1.953125,3.90625,-7.8125,0,0,0
78,-0.0625,0.9375,-0.09375,0,1.953125,-3.90625,0,0,0
79,-0.046875,0.921875,-0.0625,0,0,-3.90625,0,0,0
80,-0.078125,0.90625,-0.03125,-1.953125,1.953125,0,0,0,0
81,-0.140625,0.96875,-0.125,-3.90625,0,0,0,0,0
82,-0.140625,0.890625,0,-11.71875,0,0,0,0,0
83,-0.03125,0.984375,0,-15.625,0,3.90625,0,0,0
84,-0.0625,0.984375,0.046875,-17.578125,0,3.90625,0,0,0
85,-0.0625,1.0625,0.125,-21.484375,0,3.90625,0,0,0
86,-0.0625,1.0625,0.15625,-21.484375,0,5.859375,0,0,0
87,-0.0625,1.078125,0.1875,-17.578125,-1.953125,7.8125,0,0,0
88,-0.046875,1.125,0.171875,-17.578125,0,7.8125,0,0,0
89,-0.0625,1.0625,0.25,-15.625,0,5.859375,0,0,0
90,-0.046875,1.078125,0.234375,-13.671875,-1.953125,3.90625,0,0,0
91,-0.03125,1.0625,0.25,-9.765625,0,0,0,0,0
92,0,1.015625,0.3125,-9.765625,0,0,0,0,0
93,0,1.03125,0.28125,-7.8125,0,1.953125,0,0,0
94,-0.03125,0.921875,0.359375,-3.90625,0,0,0,0,0
95,-0.03125,0.921875,0.359375,-3.90625,0,1.953125,0,0,0
96,-0.046875,0.984375,0.34375,0,0,1.953125,0,0,0
97,-0.0625,1.109375,0.328125,1.953125,0,0,0,0,0
98,-0.078125,1.3125,0.328125,15.625,0,-7.8125,0,0,0
99,-0.09375,1.40625,0.390625,29.296875,1.953125,-19.53125,0,0,0
100,-0.125,1.484375,0.3125,39.0625,3.90625,-25.390625,0,0,0
101,-0.109375,1.390625,0.28125,42.96875,7.8125,-25.390625,0,0,0
102,-0.140625,1.25,0.234375,39.0625,5.859375,-21.484375,0,0,0
103,-0.140625,1.09375,0.1875,31.25,3.90625,-13.671875,0,0,0
104,-0.125,0.875,0.171875,3.90625,3.90625,9.765625,0,0,0
105,-0.0625,0.828125,0.125,0,3.90625,9.765625,0,0,0
106,-0.09375,0.84375,0,0,3.90625,15.625,0,0,0
107,-0.125,0.734375,0.046875,0,0,15.625,0,0,0
108,-0.03125,0.84375,0,-5.859375,0,17.578125,0,0,0
109,0.09375,0.84375,-0.015625,-9.765625,3.90625,19.53125,0,0,0
110,0.171875,0.828125,-0.046875,-9.765625,0,15.625,0,0,0
111,0.171875,0.828125,-0.046875,-9.765625,0,15.625,0,0,0
112,0.1875,0.84375,-0.015625,-1.953125,-3.90625,9.765625,0,0,0
113,0.15625,0.890625,0.03125,0,-1.953125,7.8125,0,0,0
114,0.125,0.890625,0.03125,0,-1.953125,1.953125,0,0,0
115,0.1875,0.90625,0.03125,0,-1.953125,3.90625,0,0,0
116,0.1875,0.96875,0.0625,0,-1.953125,1.953125,0,0,0
117,0.1875,0.96875,0,0,0,0,0,0,0
118,0.234375,0.96875,0.046875,0,-1.953125,0,0,0,0
119,0.1875,0.984375,0.078125,0,0,0,0,0,0
120,0.21875,0.96875,0.125,0,-1.953125,0,0,0,0
121,0.1875,1,0.140625,0,0,0,0,0,0
122,0.171875,0.96875,0.171875,0,0,0,0,0,0
123,0.1875,0.953125,0.15625,0,0,0,0,0,0
124,0.1875,0.984375,0.140625,0,0,1.953125,0,0,0
125,0.21875,0.96875,0.15625,0,0,1.953125,0,0,0
126,0.234375,0.9375,0.078125,1.953125,0,1.953125,0,0,0
127,0.234375,0.9375,0.078125,1.953125,0,1.953125,0,0,0
128,0.21875,0.96875,0.0625,1.953125,0,0,0,0,0
129,0.25,0.96875,0.09375,1.953125,0,0,0,0,0
130,0.25,0.96875,0.109375,1.953125,0,0,0,0,0
131,0.25,0.984375,0.0625,0,-1.953125,0,0,0,0
132,0.25,0.953125,0.109375,0,-1.953125,1.953125,0,0,0
133,0.234375,0.96875,0.03125,0,-1.953125,1.953125,0,0,0
134,0.234375,0.90625,0.109375,0,0,0,0,0,0
135,0.25,0.984375,0.078125,0,1.953125,0,0,0,0
136,0.265625,0.9375,0.109375,0,0,0,0,0,0
137,0.265625,0.953125,0.125,0,1.953125,0,0,0,0
138,0.234375,0.953125,0.09375,0,1.953125,-1.953125,0,0,0
139,0.21875,0.9375,0.109375,1.953125,0,-1.953125,0,0,0
140,0.21875,1,0.078125,3.90625,0,-3.90625,0,0,0
141,0.21875,0.9375,0.078125,3.90625,0,-1.953125,0,0,0
142,0.1875,0.953125,0.03125,5.859375,0,-1.953125,0,0,0
143,0.1875,0.953125,0,5.859375,0,-1.953125,0,0,0
144,0.171875,0.96875,0.015625,5.859375,0,-3.90625,0,0,0
145,0.171875,0.859375,0,5.859375,0,-7.8125,0,0,0
