motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-skullcrusher,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,0.03125,0.90625,-0.34375,-1.953125,0,0,0,0,0
1,-0.015625,0.90625,-0.4375,0,0,-1.953125,0,0,0
2,0.03125,0.890625,-0.34375,0,0,0,0,0,0
3,0.03125,0.90625,-0.390625,-1.953125,0,0,0,0,0
4,-0.015625,0.90625,-0.40625,0,0,-1.953125,0,0,0
5,0.03125,0.890625,-0.359375,0,-1.953125,0,0,0,0
6,-0.015625,0.890625,-0.421875,0,0,0,0,0,0
7,0.03125,0.890625,-0.34375,0,0,0,0,0,0
8,0,0.890625,-0.359375,0,0,0,0,0,0
9,0,0.90625,-0.390625,0,0,0,0,0,0
10,0,0.890625,-0.390625,5.859375,-1.953125,-1.953125,0,0,0
11,0,0.890625,-0.390625,5.859375,-3.90625,-1.953125,0,0,0
12,0.015625,0.859375,-0.421875,11.71875,-3.90625,-3.90625,0,0,0
13,0.015625,0.859375,-0.359375,11.71875,0,-1.953125,0,0,0
14,0,0.875,-0.453125,15.625,-1.953125,-3.90625,0,0,0
15,0,0.859375,-0.421875,17.578125,-1.953125,-3.90625,0,0,0
16,0,0.84375,-0.46875,17.578125,-1.953125,-3.90625,0,0,0
17,0,0.828125,-0.546875,19.53125,-1.953125,-1.953125,0,0,0
18,-0.0625,0.78125,-0.515625,19.53125,0,-3.90625,0,0,0
19,-0.078125,0.703125,-0.6875,21.484375,0,-1.953125,0,0,0
20,-0.09375,0.671875,-0.640625,19.53125,0,-1.953125,0,0,0
21,-0.078125,0.6875,-0.609375,21.484375,-1.953125,-3.90625,0,0,0
22,-0.046875,0.640625,-0.75,21.484375,0,-3.90625,0,0,0
23,-0.078125,0.625,-0.6875,21.484375,0,-3.90625,0,0,0
24,-0.078125,0.578125,-0.734375,21.484375,0,-5.859375,0,0,0
25,-0.109375,0.53125,-0.765625,21.484375,0,-5.859375,0,0,0
26,-0.078125,0.546875,-0.734375,21.484375,0,-1.953125,0,0,0
27,-0.078125,0.453125,-0.921875,19.53125,3.90625,0,0,0,0
28,-0.078125,0.453125,-0.921875,19.53125,3.90625,0,0,0,0
29,-0.078125,0.3125,-0.96875,21.484375,3.90625,-1.953125,0,0,0
30,-0.0625,0.296875,-0.859375,21.484375,1.953125,-1.953125,0,0,0
31,-0.03125,0.234375,-0.875,19.53125,1.953125,-3.90625,0,0,0
32,-0.0625,0.25,-0.9375,21.484375,5.859375,-1.953125,0,0,0
33,-0.09375,0.171875,-0.90625,19.53125,3.90625,-3.90625,0,0,0
34,-0.09375,0.140625,-1.046875,19.53125,1.953125,-3.90625,0,0,0
35,0,0.046875,-0.921875,17.578125,3.90625,-1.953125,0,0,0
36,-0.03125,0.015625,-0.953125,17.578125,5.859375,-3.90625,0,0,0
37,-0.015625,0,-0.984375,17.578125,1.953125,-1.953125,0,0,0
38,-0.0625,-0.03125,-0.984375,17.578125,5.859375,-3.90625,0,0,0
39,-0.015625,-0.03125,-0.96875,17.578125,1.953125,-3.90625,0,0,0
40,-0.015625,-0.078125,-0.96875,17.578125,5.859375,-3.90625,0,0,0
41,0,-0.046875,-0.953125,15.625,3.90625,-1.953125,0,0,0
42,0,-0.125,-0.9375,17.578125,3.90625,-3.90625,0,0,0
43,0,-0.125,-0.984375,13.671875,1.953125,-1.953125,0,0,0
