motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
benchpress_aaron_1,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,-0.203125,0.921875,-0.3125,3.90625,-3.90625,-9.765625,,,
1,-0.171875,0.84375,-0.3125,5.859375,-27.34375,-13.671875,,,
2,-0.15625,0.828125,-0.28125,1.953125,-13.671875,-11.71875,,,
3,-0.515625,1.234375,-0.375,11.71875,-54.6875,-19.53125,,,
4,-0.53125,1.21875,-0.25,11.71875,-54.6875,-19.53125,,,
5,-0.421875,1.125,-0.265625,1.953125,-23.4375,-9.765625,,,
6,-0.40625,1.015625,-0.15625,-3.90625,-44.921875,-11.71875,,,
7,-0.3125,1.015625,-0.09375,-17.578125,-23.4375,0,,,
8,-0.296875,0.859375,-0.0625,-29.296875,-9.765625,13.671875,,,
9,-0.3125,0.75,0,-29.296875,-23.4375,23.4375,,,
10,-0.203125,0.75,-0.015625,-23.4375,-7.8125,35.15625,,,
11,-0.234375,0.734375,0,-25.390625,-11.71875,35.15625,,,
12,-0.234375,0.796875,0.03125,-29.296875,0,35.15625,,,
13,-0.296875,0.734375,0,-33.203125,1.953125,37.109375,,,
14,-0.171875,0.765625,-0.046875,-33.203125,11.71875,41.015625,,,
15,-0.171875,0.875,-0.109375,-31.25,-1.953125,42.96875,,,
16,-0.078125,0.78125,0,-31.25,-5.859375,37.109375,,,
17,-0.046875,0.8125,0.03125,-35.15625,-13.671875,37.109375,,,
18,0,0.765625,-0.015625,-37.109375,-13.671875,37.109375,,,
19,0,0.625,0.0625,-29.296875,-15.625,23.4375,,,
20,-0.046875,0.546875,0.015625,-13.671875,-21.484375,9.765625,,,
21,-0.109375,0.59375,0.078125,-1.953125,0,-5.859375,,,
22,-0.234375,0.828125,0.046875,3.90625,0,-15.625,,,
23,-0.1875,0.953125,0.171875,-1.953125,9.765625,-9.765625,,,
24,0.015625,0.671875,0.109375,29.296875,-3.90625,-21.484375,,,
25,0.015625,0.671875,0.109375,29.296875,-1.953125,-21.484375,,,
26,-0.09375,0.71875,0.15625,33.203125,-3.90625,-29.296875,,,
27,-0.015625,0.765625,0.078125,33.203125,1.953125,-23.4375,,,
28,-0.21875,0.90625,0.078125,35.15625,-5.859375,-35.15625,,,
29,-0.015625,0.9375,0.1875,29.296875,1.953125,-23.4375,,,
30,-0.078125,0.8125,0,31.25,7.8125,-31.25,,,
31,-0.09375,0.9375,0.015625,27.34375,0,-25.390625,,,
32,0.015625,0.796875,0.0625,19.53125,44.921875,-5.859375,,,
33,-0.234375,0.890625,-0.078125,21.484375,17.578125,-9.765625,,,
34,-0.265625,0.9375,-0.0625,29.296875,9.765625,-5.859375,,,
35,-0.28125,0.921875,-0.15625,15.625,1.953125,-5.859375,,,
36,-0.25,0.9375,-0.109375,7.8125,3.90625,-3.90625,,,
37,-0.109375,0.890625,-0.1875,-3.90625,19.53125,0,,,
38,-0.328125,0.8125,-0.125,-11.71875,27.34375,11.71875,,,
39,-0.265625,0.84375,-0.109375,-13.671875,33.203125,15.625,,,
40,-0.28125,0.84375,-0.125,-13.671875,29.296875,19.53125,,,
41,-0.21875,0.9375,-0.09375,-21.484375,31.25,25.390625,,,
42,-0.203125,1.015625,-0.109375,-27.34375,27.34375,33.203125,,,
43,-0.15625,1.078125,-0.171875,-39.0625,37.109375,35.15625,,,
44,-0.1875,1.1875,-0.15625,-44.921875,41.015625,23.4375,,,
45,-0.078125,1.125,-0.15625,7.8125,9.765625,-1.953125,,,
46,-0.109375,1.0625,-0.140625,15.625,-7.8125,-5.859375,,,
47,-0.109375,1,-0.109375,13.671875,-19.53125,-13.671875,,,
48,-0.09375,1,-0.109375,9.765625,-21.484375,-17.578125,,,
49,-0.140625,1,-0.109375,0,-25.390625,-19.53125,,,
50,-0.109375,1,-0.078125,-3.90625,-23.4375,-17.578125,,,
51,-0.125,1,-0.09375,-5.859375,-13.671875,-13.671875,,,
52,-0.140625,1,-0.09375,-1.953125,-19.53125,-9.765625,,,
53,-0.1875,0.984375,-0.03125,0,-19.53125,-7.8125,,,
54,-0.171875,0.984375,-0.0625,0,-29.296875,-11.71875,,,
55,-0.171875,0.890625,0.015625,-17.578125,-15.625,-11.71875,,,
56,-0.171875,0.890625,0.046875,-19.53125,-15.625,-11.71875,,,
57,-0.1875,0.859375,0.03125,-19.53125,-9.765625,-3.90625,,,
58,-0.234375,0.859375,0.078125,-15.625,-7.8125,-5.859375,,,
59,-0.234375,0.875,0.109375,-15.625,-5.859375,0,,,
60,-0.234375,0.890625,0.109375,-15.625,-3.90625,1.953125,,,
61,-0.25,0.890625,0.125,-13.671875,-5.859375,5.859375,,,
62,-0.265625,0.921875,0.125,-15.625,-5.859375,11.71875,,,
63,-0.265625,0.96875,0.140625,-21.484375,-5.859375,19.53125,,,
64,-0.21875,1,0.125,-25.390625,-7.8125,25.390625,,,
65,-0.15625,0.84375,0.21875,-27.34375,-17.578125,41.015625,,,
66,-0.046875,0.734375,0.25,-31.25,-15.625,42.96875,,,
67,-0.0625,0.6875,0.21875,-25.390625,-19.53125,39.0625,,,
68,-0.140625,0.5625,0.28125,-19.53125,-23.4375,29.296875,,,
69,-0.03125,0.609375,0.203125,-7.8125,-13.671875,17.578125,,,
70,-0.0625,0.640625,0.234375,0,-11.71875,5.859375,,,
71,-0.171875,0.78125,0.265625,1.953125,0,-5.859375,,,
72,-0.109375,0.875,0.296875,9.765625,1.953125,-5.859375,,,
73,-0.109375,0.84375,0.265625,13.671875,0,-9.765625,,,
74,-0.09375,0.796875,0.203125,17.578125,0,-7.8125,,,
75,-0.078125,0.859375,0.1875,23.4375,15.625,-25.390625,,,
76,-0.078125,0.859375,0.1875,21.484375,21.484375,-23.4375,,,
77,-0.109375,0.8125,0.109375,21.484375,9.765625,-17.578125,,,
78,-0.078125,0.9375,0.09375,15.625,19.53125,-15.625,,,
79,-0.078125,0.875,0.171875,17.578125,5.859375,-15.625,,,
80,-0.078125,0.84375,0.109375,13.671875,5.859375,-15.625,,,
81,-0.09375,0.84375,0.15625,13.671875,1.953125,-17.578125,,,
82,-0.046875,0.75,0.171875,7.8125,17.578125,-11.71875,,,
83,-0.1875,0.859375,0.078125,9.765625,9.765625,-15.625,,,
84,-0.078125,0.890625,0.03125,13.671875,17.578125,-13.671875,,,
85,-0.125,0.921875,0.078125,15.625,-3.90625,-13.671875,,,
86,-0.25,0.890625,0.078125,5.859375,1.953125,-23.4375,,,
87,-0.25,0.875,0.125,0,0,-25.390625,,,
88,-0.25,0.921875,0.0625,-3.90625,9.765625,-23.4375,,,
89,-0.328125,0.921875,0.046875,-3.90625,5.859375,-15.625,,,
90,-0.3125,0.9375,0.0625,0,0,-3.90625,,,
91,-0.390625,0.953125,0.015625,0,1.953125,-3.90625,,,
92,-0.40625,0.953125,0.09375,0,-3.90625,0,,,
93,-0.375,0.921875,0.125,0,-3.90625,0,,,
94,-0.390625,0.90625,0.15625,-3.90625,-7.8125,3.90625,,,
95,-0.359375,0.9375,0.078125,-11.71875,0,-1.953125,,,
96,-0.484375,1.1875,0.03125,-5.859375,23.4375,-11.71875,,,
97,-0.46875,1.1875,-0.046875,-3.90625,27.34375,-17.578125,,,
98,-0.46875,1,-0.015625,11.71875,23.4375,-11.71875,,,
99,-0.4375,1,0,17.578125,11.71875,-11.71875,,,
100,-0.421875,0.96875,0.015625,19.53125,7.8125,-9.765625,,,
101,-0.421875,0.984375,0,13.671875,11.71875,-7.8125,,,
102,-0.515625,0.953125,0.0625,11.71875,-11.71875,-9.765625,,,
103,-0.4375,0.953125,0.046875,0,-5.859375,-9.765625,,,
104,-0.4375,0.90625,0.046875,-7.8125,0,-1.953125,,,
105,-0.40625,0.875,0.015625,-9.765625,1.953125,1.953125,,,
106,-0.453125,0.84375,0.0625,-3.90625,-5.859375,5.859375,,,
107,-0.3125,0.84375,0.078125,-7.8125,3.90625,19.53125,,,
108,-0.421875,0.796875,0.15625,-7.8125,-13.671875,13.671875,,,
109,-0.25,0.765625,0.09375,-7.8125,-9.765625,17.578125,,,
110,-0.296875,0.796875,0.109375,-9.765625,-1.953125,17.578125,,,
111,-0.296875,0.8125,0.125,-13.671875,0,29.296875,,,
112,-0.328125,0.875,0.140625,-17.578125,0,25.390625,,,
113,-0.25,0.8125,0.140625,-15.625,0,23.4375,,,
114,-0.234375,0.859375,0.171875,-13.671875,-5.859375,31.25,,,
115,-0.28125,0.890625,0.15625,-15.625,-3.90625,29.296875,,,
116,-0.234375,0.875,0.0625,-15.625,-3.90625,35.15625,,,
117,-0.0625,0.734375,0.1875,-21.484375,-9.765625,33.203125,,,
118,-0.140625,0.75,0.1875,-21.484375,-9.765625,33.203125,,,
119,-0.125,0.625,0.125,-13.671875,-13.671875,25.390625,,,
120,-0.15625,0.5625,0.203125,-3.90625,-11.71875,11.71875,,,
121,-0.1875,0.609375,0.140625,5.859375,0,-7.8125,,,
122,-0.203125,0.703125,0.15625,15.625,1.953125,-13.671875,,,
123,-0.34375,0.875,0.109375,9.765625,11.71875,-21.484375,,,
124,-0.21875,0.78125,0.15625,19.53125,3.90625,-17.578125,,,
125,-0.203125,0.78125,0.203125,13.671875,7.8125,-13.671875,,,
126,-0.0625,0.6875,0.1875,21.484375,0,-17.578125,,,
127,-0.109375,0.734375,0.1875,21.484375,-3.90625,-5.859375,,,
128,-0.203125,0.828125,0.15625,15.625,0,-11.71875,,,
129,-0.203125,0.828125,0.078125,15.625,-3.90625,-11.71875,,,
130,-0.234375,0.828125,0.09375,9.765625,0,-3.90625,,,
131,-0.203125,0.84375,0.171875,7.8125,1.953125,-13.671875,,,
132,-0.078125,0.875,0.125,7.8125,-1.953125,-5.859375,,,
133,-0.1875,0.921875,0.109375,5.859375,5.859375,-7.8125,,,
134,-0.265625,0.890625,0.109375,5.859375,9.765625,-7.8125,,,
135,-0.15625,0.90625,0,9.765625,11.71875,-11.71875,,,
136,-0.265625,0.921875,0.109375,7.8125,-7.8125,-11.71875,,,
137,-0.25,0.890625,0.125,7.8125,-17.578125,-13.671875,,,
138,-0.34375,0.875,0.0625,-1.953125,5.859375,-5.859375,,,
139,-0.296875,0.828125,0.078125,-1.953125,1.953125,-3.90625,,,
140,-0.328125,0.890625,0.0625,0,11.71875,1.953125,,,
141,-0.359375,0.890625,0.125,3.90625,0,3.90625,,,
142,-0.34375,0.921875,0.140625,0,9.765625,7.8125,,,
143,-0.359375,0.9375,0.109375,-1.953125,9.765625,7.8125,,,
144,-0.375,0.953125,0.09375,-5.859375,11.71875,5.859375,,,
145,-0.359375,0.984375,0.125,-11.71875,3.90625,1.953125,,,
146,-0.3125,0.953125,0.09375,-13.671875,13.671875,0,,,
147,-0.28125,0.953125,0.046875,-15.625,19.53125,0,,,
148,-0.34375,1.015625,0.03125,-11.71875,21.484375,0,,,
149,-0.390625,1.1875,-0.0625,7.8125,21.484375,-1.953125,,,
150,-0.40625,1.125,-0.046875,11.71875,7.8125,-5.859375,,,
151,-0.40625,1.09375,-0.09375,7.8125,11.71875,-7.8125,,,
152,-0.46875,1.03125,-0.015625,3.90625,-15.625,-11.71875,,,
153,-0.328125,1,0.015625,-1.953125,-13.671875,-3.90625,,,
154,-0.328125,0.921875,0.078125,-9.765625,-21.484375,0,,,
155,-0.25,0.90625,0.0625,-11.71875,-7.8125,5.859375,,,
156,-0.296875,0.890625,0.0625,-7.8125,-7.8125,5.859375,,,
157,-0.296875,0.921875,0.046875,-3.90625,-11.71875,1.953125,,,
158,-0.3125,0.953125,0.09375,-5.859375,-13.671875,1.953125,,,
159,-0.203125,0.859375,0.140625,-11.71875,-11.71875,9.765625,,,
160,-0.203125,0.859375,0.140625,-11.71875,-9.765625,7.8125,,,
161,-0.234375,0.8125,0.15625,-7.8125,-13.671875,15.625,,,
162,-0.21875,0.78125,0.15625,-13.671875,-11.71875,19.53125,,,
163,-0.140625,0.765625,0.203125,-13.671875,-3.90625,11.71875,,,
164,-0.1875,0.828125,0.21875,-17.578125,-3.90625,15.625,,,
165,-0.25,0.875,0.203125,-17.578125,-3.90625,13.671875,,,
166,-0.234375,0.9375,0.21875,-17.578125,-5.859375,21.484375,,,
167,-0.203125,0.90625,0.265625,-17.578125,-7.8125,23.4375,,,
168,-0.25,0.90625,0.203125,-13.671875,-17.578125,29.296875,,,
169,-0.15625,0.9375,0.21875,-19.53125,-17.578125,37.109375,,,
170,-0.078125,0.53125,0.234375,-13.671875,-13.671875,21.484375,,,
171,-0.09375,0.5,0.25,-3.90625,-7.8125,9.765625,,,
172,-0.125,0.5,0.203125,9.765625,0,-7.8125,,,
173,-0.171875,0.625,0.21875,23.4375,9.765625,-21.484375,,,
174,-0.203125,0.78125,0.296875,27.34375,21.484375,-31.25,,,
175,-0.234375,0.890625,0.25,29.296875,13.671875,-23.4375,,,
176,-0.1875,0.734375,0.296875,31.25,25.390625,-31.25,,,
177,-0.21875,0.796875,0.140625,31.25,15.625,-25.390625,,,
178,-0.21875,0.8125,0.25,33.203125,19.53125,-27.34375,,,
179,-0.140625,0.796875,0.171875,29.296875,15.625,-21.484375,,,
180,-0.25,0.875,0,19.53125,27.34375,-11.71875,,,
181,-0.25,0.875,0,17.578125,19.53125,-9.765625,,,
182,-0.265625,0.875,0.0625,17.578125,0,-15.625,,,
183,-0.25,0.84375,0.03125,9.765625,5.859375,-11.71875,,,
184,-0.21875,0.875,0,9.765625,1.953125,-7.8125,,,
185,-0.234375,0.828125,0.03125,9.765625,19.53125,-9.765625,,,
186,-0.265625,0.84375,-0.03125,11.71875,7.8125,-9.765625,,,
187,-0.296875,0.8125,0,13.671875,-3.90625,-1.953125,,,
188,-0.3125,0.78125,0.046875,13.671875,0,0,,,
189,-0.28125,0.84375,0.0625,5.859375,-7.8125,0,,,
190,-0.265625,0.875,0.0625,0,5.859375,1.953125,,,
191,-0.328125,1,0.03125,-3.90625,-1.953125,7.8125,,,
192,-0.3125,1.015625,0.03125,-3.90625,0,7.8125,,,
193,-0.359375,1.0625,0.0625,0,-9.765625,3.90625,,,
194,-0.375,1.09375,0.015625,-1.953125,-3.90625,0,,,
195,-0.421875,1.140625,-0.015625,-9.765625,0,0,,,
196,-0.4375,1.171875,-0.0625,0,7.8125,-11.71875,,,
197,-0.453125,1.125,-0.09375,3.90625,17.578125,-13.671875,,,
198,-0.40625,1.09375,-0.125,7.8125,21.484375,-13.671875,,,
199,-0.453125,1.03125,-0.078125,13.671875,13.671875,-9.765625,,,
200,-0.484375,1,-0.078125,7.8125,15.625,-5.859375,,,
