motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
benchpress_ethan_1,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,-0.265625,1.125,0.0625,0,-7.8125,9.765625,,,
1,-0.28125,1.125,-0.046875,-5.859375,3.90625,1.953125,,,
2,-0.25,1.15625,0.03125,-7.8125,5.859375,3.90625,,,
3,-0.25,1.328125,-0.140625,3.90625,5.859375,7.8125,,,
4,-0.421875,1.53125,0.015625,5.859375,-7.8125,3.90625,,,
5,-0.40625,1.265625,-0.140625,7.8125,-15.625,-7.8125,,,
6,-0.28125,1.234375,-0.109375,1.953125,-13.671875,-5.859375,,,
7,-0.203125,1.203125,-0.03125,0,-13.671875,-1.953125,,,
8,-0.296875,1.078125,-0.046875,-13.671875,-31.25,1.953125,,,
9,-0.09375,0.96875,0.09375,-17.578125,-21.484375,11.71875,,,
10,-0.3125,0.875,-0.0625,-25.390625,-35.15625,17.578125,,,
11,-0.046875,0.765625,0.125,-23.4375,-19.53125,23.4375,,,
12,-0.234375,0.671875,0.015625,-31.25,-21.484375,23.4375,,,
13,-0.109375,0.671875,0.0625,-27.34375,3.90625,23.4375,,,
14,-0.15625,0.640625,-0.015625,-25.390625,-1.953125,17.578125,,,
15,-0.15625,0.65625,0.15625,-25.390625,0,17.578125,,,
16,-0.34375,0.84375,0.171875,-11.71875,-1.953125,-1.953125,,,
17,-0.296875,0.8125,0.265625,-21.484375,1.953125,-3.90625,,,
18,-0.375,0.765625,0.03125,-21.484375,5.859375,-9.765625,,,
19,-0.34375,0.703125,0.21875,-11.71875,9.765625,-11.71875,,,
20,-0.34375,0.703125,0.125,-3.90625,7.8125,-13.671875,,,
21,-0.46875,0.71875,0.15625,1.953125,7.8125,-13.671875,,,
22,-0.453125,0.78125,0.21875,-3.90625,13.671875,-5.859375,,,
23,-0.5,0.734375,0.140625,3.90625,19.53125,-15.625,,,
24,-0.40625,0.71875,0.25,3.90625,21.484375,-1.953125,,,
25,-0.3125,0.65625,0.171875,7.8125,27.34375,-3.90625,,,
26,-0.171875,0.796875,0.078125,27.34375,25.390625,-13.671875,,,
27,-0.171875,0.875,0.140625,19.53125,19.53125,-1.953125,,,
28,-0.21875,0.875,0.203125,17.578125,5.859375,-5.859375,,,
29,-0.1875,0.90625,0.15625,7.8125,13.671875,-11.71875,,,
30,-0.15625,0.90625,0.125,15.625,0,-9.765625,,,
31,-0.109375,1,0.078125,17.578125,5.859375,0,,,
32,-0.1875,1.015625,0.046875,17.578125,1.953125,-3.90625,,,
33,-0.21875,1.015625,0,13.671875,3.90625,-7.8125,,,
34,-0.25,0.921875,-0.015625,5.859375,15.625,-3.90625,,,
35,-0.21875,0.921875,-0.046875,0,11.71875,0,,,
36,-0.25,0.96875,0,-5.859375,11.71875,9.765625,,,
37,-0.5625,1.5,-0.15625,-3.90625,5.859375,33.203125,,,
38,-0.5,1.59375,-0.09375,0,3.90625,29.296875,,,
39,-0.453125,1.625,-0.171875,9.765625,0,17.578125,,,
40,-0.34375,1.5,-0.078125,13.671875,-19.53125,3.90625,,,
41,-0.234375,1.28125,-0.171875,7.8125,-33.203125,-7.8125,,,
42,-0.1875,1.171875,-0.0625,3.90625,-35.15625,-15.625,,,
43,-0.171875,1.109375,-0.140625,-5.859375,-35.15625,-25.390625,,,
44,-0.09375,1.109375,0.09375,-11.71875,-27.34375,-21.484375,,,
45,-0.21875,1.09375,-0.046875,-7.8125,-33.203125,-19.53125,,,
46,-0.125,1.046875,0.171875,0,-35.15625,-1.953125,,,
47,-0.125,0.84375,0.171875,-17.578125,-33.203125,5.859375,,,
48,-0.09375,0.796875,0.0625,-19.53125,-19.53125,1.953125,,,
49,-0.09375,0.796875,0.0625,-17.578125,-13.671875,3.90625,,,
50,-0.109375,0.671875,0.1875,-15.625,-25.390625,5.859375,,,
51,-0.09375,0.65625,0.109375,-13.671875,-7.8125,7.8125,,,
52,-0.28125,0.65625,0.125,-1.953125,-17.578125,19.53125,,,
53,-0.34375,0.75,0.1875,-13.671875,-21.484375,25.390625,,,
54,-0.390625,0.65625,0.234375,-21.484375,-9.765625,21.484375,,,
55,-0.390625,0.65625,0.1875,-11.71875,7.8125,11.71875,,,
56,-0.34375,0.703125,0.203125,-7.8125,5.859375,7.8125,,,
57,-0.34375,0.75,0.125,-3.90625,15.625,-1.953125,,,
58,-0.3125,0.6875,0.15625,11.71875,27.34375,-15.625,,,
59,-0.375,0.671875,0.140625,11.71875,25.390625,-17.578125,,,
60,-0.296875,0.609375,0.171875,13.671875,29.296875,-25.390625,,,
61,-0.328125,0.6875,0.109375,11.71875,11.71875,-27.34375,,,
