motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
benchpress_jared_2,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,-0.234375,0.859375,-0.09375,-1.953125,7.8125,15.625,,,
1,-0.21875,0.734375,-0.0625,1.953125,5.859375,15.625,,,
2,-0.296875,0.953125,-0.0625,-7.8125,3.90625,31.25,,,
3,-0.109375,0.828125,-0.0625,-3.90625,-3.90625,11.71875,,,
4,-0.109375,0.828125,-0.0625,-5.859375,-3.90625,13.671875,,,
5,0.25,0.765625,0.046875,1.953125,25.390625,1.953125,,,
6,0.1875,0.90625,-0.078125,0,27.34375,0,,,
7,0.03125,0.84375,0.015625,7.8125,7.8125,1.953125,,,
8,0.09375,1.0625,0.03125,13.671875,9.765625,0,,,
9,0.109375,0.890625,0.03125,33.203125,3.90625,-5.859375,,,
10,-0.015625,1,-0.046875,29.296875,0,-3.90625,,,
11,-0.140625,1.09375,0,9.765625,-9.765625,7.8125,,,
12,-0.015625,1.03125,-0.140625,-9.765625,9.765625,-3.90625,,,
13,-0.046875,0.890625,0.03125,-39.0625,-9.765625,-9.765625,,,
14,0.140625,1.15625,-0.0625,-46.875,9.765625,21.484375,,,
15,-0.0625,1.4375,-0.03125,-25.390625,11.71875,17.578125,,,
16,-0.03125,1.40625,-0.078125,-1.953125,25.390625,7.8125,,,
17,-0.109375,1.609375,-0.015625,11.71875,7.8125,-5.859375,,,
18,-0.125,1.59375,-0.015625,17.578125,5.859375,-29.296875,,,
19,-0.25,1.390625,-0.0625,31.25,0,-33.203125,,,
20,-0.1875,1.390625,-0.09375,31.25,-13.671875,-33.203125,,,
21,-0.140625,1.3125,-0.109375,44.921875,-35.15625,-21.484375,,,
22,0.03125,1.203125,-0.09375,54.6875,-29.296875,-15.625,,,
23,0.09375,1.21875,-0.046875,54.6875,-17.578125,-9.765625,,,
24,-0.125,0.859375,-0.078125,-25.390625,-13.671875,0,,,
25,-0.125,0.859375,-0.078125,-25.390625,-15.625,0,,,
26,0,0.703125,-0.078125,-17.578125,-13.671875,17.578125,,,
27,-0.015625,0.734375,0.046875,-35.15625,-19.53125,21.484375,,,
28,-0.140625,0.765625,-0.125,-29.296875,-19.53125,19.53125,,,
29,-0.1875,0.65625,0.046875,-41.015625,-31.25,25.390625,,,
30,-0.1875,0.6875,0.046875,-25.390625,-29.296875,17.578125,,,
31,0,0.703125,-0.046875,-21.484375,-23.4375,17.578125,,,
32,-0.234375,0.546875,0.0625,-13.671875,-9.765625,-11.71875,,,
33,-0.328125,0.78125,-0.078125,64.453125,-44.921875,-44.921875,,,
