motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
jjbhbhb,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,0.046875,0.09375,1.015625,3.90625,1.953125,5.859375,0,0,0
1,0.046875,0.09375,1.015625,1.953125,1.953125,5.859375,0,0,0
2,0.015625,0.109375,0.9375,0,0,0,0,0,0
3,0.015625,0.109375,0.96875,0,1.953125,0,0,0,0
4,0,0.125,1.03125,3.90625,3.90625,0,0,0,0
5,-0.015625,0.140625,0.984375,0,0,0,0,0,0
6,0,0.125,0.953125,0,0,0,0,0,0
7,0,0.15625,1.015625,1.953125,-1.953125,0,0,0,0
8,-0.015625,0.125,0.953125,0,0,0,0,0,0
9,0,0.125,1.015625,0,0,0,0,0,0
10,-0.015625,0.125,1.015625,0,0,1.953125,0,0,0
11,-0.03125,0.140625,1,0,0,1.953125,0,0,0
12,-0.03125,0.15625,0.953125,0,1.953125,1.953125,0,0,0
13,0,0.140625,1.03125,1.953125,0,1.953125,0,0,0
14,0,0.140625,1.015625,0,0,1.953125,0,0,0
15,0,0.140625,0.953125,-1.953125,0,1.953125,0,0,0
16,0,0.140625,1.015625,1.953125,0,0,0,0,0
17,0,0.125,1.015625,0,0,0,0,0,0
18,-0.015625,0.15625,1,0,0,0,0,0,0
19,-0.015625,0.140625,1,0,0,0,0,0,0
20,-0.015625,0.140625,1,0,0,0,0,0,0
21,-0.03125,0.140625,0.984375,0,0,0,0,0,0
22,-0.015625,0.140625,1.015625,0,0,0,0,0,0
23,-0.015625,0.140625,1,0,0,0,0,0,0
24,-0.03125,0.140625,1,0,0,0,0,0,0
25,-0.03125,0.140625,1.015625,0,0,0,0,0,0
26,-0.03125,0.15625,1,0,0,1.953125,0,0,0
27,-0.03125,0.140625,0.953125,0,0,0,0,0,0
28,-0.015625,0.140625,1,1.953125,0,0,0,0,0
29,0,0.125,1.03125,0,0,0,0,0,0
30,-0.015625,0.140625,0.953125,-3.90625,-1.953125,0,0,0,0
31,-0.03125,0.171875,0.953125,0,0,0,0,0,0
32,0,0.125,1,-1.953125,0,0,0,0,0
33,-0.015625,0.15625,0.984375,0,0,0,0,0,0
34,0,0.140625,1.03125,0,0,0,0,0,0
35,-0.015625,0.15625,1,0,0,0,0,0,0
36,-0.015625,0.140625,1,0,0,0,0,0,0
37,-0.015625,0.15625,0.984375,0,0,0,0,0,0
38,-0.015625,0.15625,0.984375,1.953125,0,0,0,0,0
39,0,0.140625,1,0,0,0,0,0,0
40,0,0.140625,0.984375,0,0,0,0,0,0
41,0,0.140625,1.015625,0,0,0,0,0,0
42,-0.015625,0.140625,0.984375,0,0,0,0,0,0
43,-0.015625,0.15625,1,0,0,0,0,0,0
44,0,0.140625,0.984375,0,0,0,0,0,0
