motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
5/5 reps and random,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,0.08056641,-0.7456055,-0.6679688,-6.282806,-6.559372,31.11839,,,
1,0.06982422,-0.7548828,-0.6655273,-7.015228,-2.653122,32.40013,,,
2,0.06298828,-0.7758789,-0.6333008,-8.419037,10.83565,34.23119,,,
3,0.05029297,-0.7895508,-0.6132812,-8.724213,16.38985,35.02464,,,
4,0.05322266,-0.8095703,-0.6074219,-8.724213,18.15987,35.75706,,,
5,0.06005859,-0.8134766,-0.6044922,-8.541107,16.20674,36.24535,,,
6,0.06591797,-0.8261719,-0.5947266,-8.052826,13.03291,36.12328,,,
7,0.07714844,-0.8520508,-0.6083984,-7.50351,10.95772,35.32982,,,
8,0.09277344,-0.8510742,-0.6123047,-7.015228,10.2253,34.10912,,,
9,0.1088867,-0.8530273,-0.5761719,-6.465912,9.859085,32.27806,,,
10,0.1015625,-0.8466797,-0.5957031,-5.85556,8.02803,30.01976,,,
11,0.1274414,-0.8227539,-0.609375,-4.817963,8.455276,25.32005,,,
12,0.1074219,-0.8198242,-0.6069336,-4.634857,7.478714,23.06175,,,
13,0.09033203,-0.8051758,-0.6376953,-5.001068,8.089066,17.69066,,,
14,0.07714844,-0.8056641,-0.6445312,-5.001068,9.92012,15.79857,,,
15,0.07861328,-0.8276367,-0.6777344,-4.634857,8.272171,15.06615,,,
16,0.08203125,-0.8383789,-0.6958008,-4.146576,5.708694,14.27269,,,
17,0.06835938,-0.8125,-0.6699219,-4.024506,0.6427765,12.01439,,,
18,0.07666016,-0.7822266,-0.6767578,-4.390717,-0.1506805,10.24437,,,
19,0.0625,-0.7719727,-0.6640625,-4.878998,0.6427765,8.291245,,,
20,0.06689453,-0.7680664,-0.6787109,-5.367279,1.070023,6.46019,,,
21,0.08007812,-0.7734375,-0.6835938,-5.550385,0.6427765,5.056381,,,
22,0.09130859,-0.7841797,-0.6674805,-5.428314,-0.2117157,3.652573,,,
23,0.1049805,-0.8095703,-0.6865234,-4.817963,-1.066208,2.004623,,,
24,0.1318359,-0.800293,-0.6381836,-3.902435,-1.981735,-0.1926422,,,
25,0.1357422,-0.8120117,-0.6293945,-2.864838,-4.179001,-3.183365,,,
26,0.152832,-0.7939453,-0.6171875,-1.70517,-9.061813,-6.723404,,,
27,0.15625,-0.7856445,-0.6176758,-0.6065369,-15.04326,-10.81276,,,
28,0.1577148,-0.7851562,-0.6474609,0.2479553,-20.53642,-15.08522,,,
29,0.1611328,-0.7919922,-0.6689453,0.8583069,-23.64922,-19.35768,,,
30,0.1542969,-0.7807617,-0.6977539,1.102448,-23.46611,-23.2029,,,
31,0.1455078,-0.7949219,-0.7094727,0.8583069,-21.0247,-26.74294,,,
32,0.1357422,-0.8041992,-0.6992188,0.3089905,-17.85088,-30.1609,,,
33,0.1352539,-0.8081055,-0.7133789,-0.4844666,-15.53154,-33.21266,,,
34,0.1313477,-0.8041992,-0.6958008,-1.338959,-14.49394,-36.08131,,,
35,0.1293945,-0.8203125,-0.7114258,-2.193451,-14.0667,-38.76686,,,
36,0.1313477,-0.8232422,-0.7172852,-2.986908,-12.60185,-41.20827,,,
37,0.1337891,-0.8012695,-0.7060547,-3.902435,-9.489059,-45.23659,,,
38,0.1367188,-0.8051758,-0.7084961,-4.085541,-9.794235,-46.76247,,,
39,0.1430664,-0.800293,-0.7094727,-4.085541,-10.58769,-48.22731,,,
40,0.1625977,-0.800293,-0.7353516,-3.902435,-11.38115,-49.63112,,,
41,0.1748047,-0.7954102,-0.7353516,-3.59726,-11.93047,-51.157,,,
42,0.1875,-0.7900391,-0.7573242,-3.047943,-11.62529,-52.68288,,,
43,0.2041016,-0.7851562,-0.7592773,-2.437592,-10.16045,-54.33083,,,
44,0.2246094,-0.7890625,-0.7495117,-1.70517,-8.146286,-55.97878,,,
45,0.2451172,-0.7817383,-0.7602539,-1.033783,-6.559372,-57.9319,,,
46,0.2939453,-0.7563477,-0.8051758,0.003814697,-4.911423,-62.32643,,,
47,0.2978516,-0.7451172,-0.8193359,-0.3013611,-1.554489,-64.76784,,,
48,0.3227539,-0.7456055,-0.7963867,-0.9727478,3.511429,-67.08717,,,
49,0.3276367,-0.7548828,-0.8125,-1.70517,5.647659,-69.40651,,,
50,0.3085938,-0.7407227,-0.8095703,-3.475189,3.450394,-73.19069,,,
51,0.296875,-0.7177734,-0.7939453,-6.343842,9.737015,-76.66969,,,
52,0.284668,-0.7172852,-0.7587891,-7.686615,15.84053,-77.82936,,,
53,0.28125,-0.6430664,-0.7060547,-8.358002,19.4416,-75.69313,,,
54,0.2705078,-0.6030273,-0.684082,-6.832123,16.38985,-69.0403,,,
55,0.253418,-0.5732422,-0.6835938,-5.428314,20.78438,-64.21852,,,
56,0.222168,-0.4692383,-0.6557617,-0.9117126,34.09004,-51.3401,,,
57,0.1777344,-0.4389648,-0.6201172,1.834869,30.91621,-43.58864,,,
58,0.1391602,-0.4033203,-0.6523438,4.337311,19.68575,-34.73854,,,
59,0.07861328,-0.3837891,-0.7709961,6.595612,3.755569,-24.72878,,,
60,-0.06591797,-0.3500977,-0.765625,8.060455,-7.047653,-13.25417,,,
61,-0.1850586,-0.3325195,-0.8110352,8.426666,-11.86943,0.66185,,,
62,-0.6552734,-0.237793,-1.051758,7.572174,-18.15605,18.17894,,,
63,-0.9443359,-0.1381836,-1.01709,4.825592,-22.42851,40.76195,,,
64,-1.537598,-0.1630859,-0.847168,0.919342,-10.83183,72.31712,,,
65,-2.363281,-0.2197266,-0.4379883,-1.461029,29.39034,116.0793,,,
66,-3.644531,-0.293457,1.607422,6.473541,198.3356,264.9441,,,
67,-3.700195,-1.839844,2.908203,23.99063,259.676,382.6809,,,
68,-2.675293,-4.103516,3.36377,57.01065,176.0578,521.4749,,,
69,-2.232422,-5.530273,1.009277,115.9706,-40.49492,647.0852,,,
70,0.7617188,-6.627441,-1.927246,172.4892,-133.5125,726.1257,,,
71,1.937988,-4.226562,-1.815918,165.4701,-40.80009,736.0745,,,
72,-0.04785156,-2.85498,-2.272949,129.5815,-117.2771,678.9456,,,
73,-0.3359375,-1.472168,-0.7944336,108.5243,-234.2815,580.9841,,,
74,-0.6030273,-1.341797,-0.3007812,78.8002,-110.3802,462.9421,,,
75,-0.1396484,-0.184082,-0.6933594,32.53555,-133.8177,237.3562,,,
76,-0.4804688,-0.2329102,0.2939453,25.45547,6.074905,167.8982,,,
77,-0.949707,-0.8701172,0.6870117,31.9252,33.29659,121.4504,,,
78,-1.154785,-1.137207,0.7055664,41.996,19.50264,87.45384,,,
79,-1.128906,-1.089355,0.484375,51.02921,-1.493454,64.01634,,,
80,-1.067383,-0.8261719,0.2631836,57.07169,-8.878708,46.43822,,,
81,-0.8554688,-0.5864258,-0.3676758,38.39493,3.511429,-18.99147,,,
82,-0.828125,-0.5068359,-0.3022461,28.56827,23.71407,-30.46608,,,
83,-0.7973633,-0.40625,-0.2954102,19.35196,35.00557,-40.96413,,,
84,-0.7636719,-0.2929688,-0.3007812,3.421783,48.4333,-64.76784,,,
85,-0.8276367,-0.2895508,-0.2246094,-11.59286,80.78194,-109.2014,,,
86,-0.7163086,-0.402832,-0.230957,-14.33945,78.15742,-124.2161,,,
87,-0.4521484,-0.5800781,-0.2827148,-20.13779,27.98653,-159.9827,,,
88,-0.4775391,-0.7675781,-0.3203125,-24.89853,9.981155,-180.3684,,,
89,-0.5361328,-0.8505859,-0.331543,-30.51376,7.844925,-199.3504,,,
90,-0.6367188,-1.047852,-0.4526367,-36.37314,17.1833,-216.2571,,,
91,-0.5029297,-1.257812,-0.4506836,-42.9039,29.87862,-230.7224,,,
92,-0.2211914,-1.499512,-0.3081055,-52.05917,42.39082,-255.8079,,,
93,-0.215332,-1.678711,-0.3979492,-51.81503,58.62617,-276.926,,,
94,-0.2900391,-1.708496,-0.3930664,-49.00742,69.18526,-283.762,,,
95,-0.1982422,-1.694336,-0.2421875,-44.61288,74.1291,-286.7527,,,
96,-0.1391602,-1.753906,-0.2114258,-38.02109,66.68282,-287.1799,,,
97,0.05664062,-1.785645,-0.1499023,-30.26962,49.04366,-286.5085,,,
98,0.02587891,-1.80127,-0.2919922,-22.33505,29.69551,-285.4709,,,
99,0.01318359,-1.665527,-0.253418,-15.37704,15.59639,-281.6868,,,
100,0.1987305,-1.614746,-0.2539062,-9.51767,2.595901,-275.095,,,
101,-0.01220703,-1.518066,-0.3183594,-4.695892,-15.95879,-266.3669,,,
102,0.05957031,-1.467773,-0.2773438,-0.9117126,-31.03447,-255.3196,,,
103,0.1196289,-1.322266,-0.2578125,2.628326,-42.81425,-243.2346,,,
104,0.06884766,-1.18457,-0.3496094,5.924225,-50.38261,-230.1731,,,
105,0.05371094,-1.053223,-0.293457,9.220123,-52.82402,-216.1961,,,
106,0.02294922,-0.9604492,-0.3642578,12.02774,-51.66435,-201.9138,,,
107,-0.001464844,-0.9179688,-0.4311523,14.59122,-53.3123,-187.3264,,,
108,-0.02783203,-0.8222656,-0.487793,16.42227,-61.97929,-172.4949,,,
109,-0.04833984,-0.6645508,-0.5102539,17.45987,-74.73564,-157.9075,,,
110,0.03613281,-0.5410156,-0.5463867,18.3754,-86.94267,-132.5779,,,
111,0.0546875,-0.4355469,-0.605957,18.86368,-85.11162,-121.4695,,,
112,0.05175781,-0.3554688,-0.6567383,18.92471,-74.61357,-110.4832,,,
113,0.1083984,-0.3007812,-0.6777344,19.29092,-54.47197,-99.31374,,,
114,0.09033203,-0.269043,-0.7524414,19.84024,-35.61211,-88.20534,,,
