motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
OFF,10000,3,8,8,32,1000,1000,1000
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,0.1083984,-0.449707,-0.4189453,53.16162,-41.19873,-133.606,0,0,0
1,0.1132812,-0.3237305,-0.4389648,49.07227,-49.25537,-117.0044,0,0,0
2,0.04199219,-0.2270508,-0.4541016,44.25049,-51.81885,-100.8301,0,0,0
3,-0.04248047,-0.1894531,-0.4672852,38.87939,-48.27881,-84.47266,0,0,0
4,-0.09570312,-0.06835938,-0.4580078,32.65381,-39.24561,-66.04004,0,0,0
5,-0.1708984,0.03710938,-0.4633789,26.12305,-19.34814,-42.60254,0,0,0
6,-0.1333008,0.04980469,-0.4804688,19.16504,-4.02832,-15.80811,0,0,0
7,-0.1967773,0.008789062,-0.5498047,13.18359,-28.44238,5.859375,0,0,0
8,-0.2460938,-0.01123047,-0.6147461,7.324219,-53.03955,24.71924,0,0,0
9,-0.3041992,-0.03515625,-0.6704102,1.708984,-68.72559,43.396,0,0,0
10,-0.4882812,-0.1157227,-0.840332,-3.479004,-68.35938,62.43896,0,0,0
11,-0.8017578,-0.2182617,-1.177246,-10.0708,-40.46631,83.92334,0,0,0
12,-1.185547,-0.2431641,-1.562012,-22.2168,14.52637,110.5347,0,0,0
13,-1.900391,-0.01806641,-1.950195,-44.86084,88.62305,144.7754,0,0,0
14,-3.237305,0.25,-2.103027,-83.25195,153.6255,190.0635,0,0,0
15,-5.283203,-0.4082031,-1.753906,-139.4043,218.0786,255.9814,0,0,0
16,-7.197754,-2.625,-0.9003906,-212.8296,298.2788,356.5063,0,0,0
17,-5.76416,-6.178223,1.250488,-291.9922,226.3184,492.3096,0,0,0
18,-5.185059,-7.999756,-0.03808594,-315.8569,-140.5029,649.4751,0,0,0
19,-3.196777,-7.999756,-2.929688,-241.6992,-520.0806,819.5801,0,0,0
20,-0.5913086,-7.999756,-2.863281,-114.8071,-593.689,938.2935,0,0,0
21,1.678223,-7.999756,-1.933105,-28.32031,-369.9341,943.6646,0,0,0
22,1.570801,-5.449219,-2.178711,4.577637,-183.5327,845.1538,0,0,0
23,2.298828,-3.673828,-4.200684,19.22607,-184.7534,697.1436,0,0,0
24,1.09375,-1.968262,-1.108887,8.483887,-102.7222,538.3911,0,0,0
25,0.01123047,-1.080078,-0.8911133,-12.26807,17.15088,383.7891,0,0,0
26,0.3427734,-0.5288086,-0.4643555,-16.60156,-30.94482,267.7002,0,0,0
27,0.2397461,-0.6650391,0.3022461,-1.77002,54.01611,190.5518,0,0,0
