motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
OFF,5000,3,32,8,8,1000,1000,1000
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,-0.8671875,-0.7783203,-0.3388672,1.403809,-0.1831055,-32.77588,0,0,0
1,-0.8027344,-0.7070312,-0.3046875,-3.295898,15.07568,-50.354,0,0,0
2,-0.7788086,-0.6708984,-0.3286133,-7.446289,33.02002,-67.74902,0,0,0
3,-0.7675781,-0.6547852,-0.2988281,-10.31494,46.38672,-84.77783,0,0,0
4,-0.6738281,-0.6552734,-0.3320312,-12.02393,46.63086,-101.3794,0,0,0
5,-0.6503906,-0.6875,-0.387207,-13.24463,33.08105,-118.1641,0,0,0
6,-0.6303711,-0.7265625,-0.3515625,-14.70947,21.54541,-134.7656,0,0,0
7,-0.6220703,-0.7788086,-0.2958984,-15.86914,19.59229,-151.3062,0,0,0
8,-0.5849609,-0.8564453,-0.2783203,-15.74707,24.04785,-167.6636,0,0,0
9,-0.546875,-0.9042969,-0.4018555,-14.52637,31.86035,-182.6172,0,0,0
10,-0.4902344,-1.040039,-0.4272461,-13.30566,40.2832,-195.8008,0,0,0
11,-0.4521484,-1.17041,-0.4135742,-11.90186,60.91309,-206.4209,0,0,0
12,-0.3564453,-1.271484,-0.4023438,-8.483887,91.00342,-214.5996,0,0,0
13,-0.269043,-1.335449,-0.4389648,-2.807617,109.7412,-221.4966,0,0,0
14,-0.1948242,-1.355957,-0.4853516,3.662109,104.9805,-227.8442,0,0,0
15,-0.1181641,-1.413574,-0.4726562,9.155273,88.07373,-233.2764,0,0,0
16,-0.07421875,-1.445312,-0.4804688,13.79395,77.33154,-237.4268,0,0,0
17,0.003417969,-1.45166,-0.421875,18.85986,77.57568,-240.0513,0,0,0
18,0.06054688,-1.425781,-0.4003906,24.84131,79.10156,-241.7603,0,0,0
19,0.1665039,-1.388672,-0.3696289,31.31104,75.01221,-242.7368,0,0,0
20,0.2460938,-1.372559,-0.3330078,37.41455,67.26074,-243.2861,0,0,0
21,0.2568359,-1.347168,-0.34375,42.90771,58.83789,-243.4692,0,0,0
22,0.3168945,-1.350586,-0.3061523,47.85156,51.2085,-242.6147,0,0,0
23,0.347168,-1.302246,-0.2612305,52.24609,46.14258,-240.5396,0,0,0
24,0.3647461,-1.228516,-0.2358398,56.27441,38.51318,-237.793,0,0,0
25,0.7138672,-1.147461,-0.06445312,63.59863,22.52197,-230.5908,0,0,0
26,0.5957031,-1.072266,-0.1635742,67.50488,9.399414,-226.7456,0,0,0
27,0.6494141,-1.011719,-0.1323242,71.28906,-5.493164,-223.2056,0,0,0
28,0.671875,-0.7915039,-0.1083984,82.94678,10.37598,-207.4585,0,0,0
29,0.4145508,-0.7348633,-0.1635742,88.50098,19.34814,-198.9136,0,0,0
30,0.4414062,-0.6220703,0.1704102,93.44482,17.21191,-188.4766,0,0,0
31,0.277832,-0.3374023,-0.4750977,98.14453,15.99121,-162.2925,0,0,0
32,0.2363281,-0.1269531,-0.3383789,96.80176,20.38574,-145.4468,0,0,0
33,0.1669922,0.1010742,-0.4594727,92.04102,19.22607,-124.939,0,0,0
34,0.1044922,0.2895508,-0.6098633,83.61816,8.361816,-100.769,0,0,0
35,0.03759766,0.4428711,-0.621582,71.04492,-4.333496,-73.24219,0,0,0
36,0.02197266,0.5800781,-1.117676,53.89404,-16.41846,-42.66357,0,0,0
37,-0.08740234,0.5385742,-1.036621,31.67725,-18.73779,-8.911133,0,0,0
38,-0.06933594,0.5664062,-1.152344,5.310059,-12.81738,27.771,0,0,0
39,-0.1005859,0.4287109,-1.236328,-23.80371,-29.29688,66.34521,0,0,0
40,-0.1103516,0.4418945,-1.59082,-54.13818,-36.37695,107.666,0,0,0
41,-0.1806641,-0.140625,-1.479492,-85.32715,-17.39502,151.4282,0,0,0
42,-0.2666016,-0.5058594,-1.224121,-115.9668,4.089355,195.1904,0,0,0
43,-0.2412109,-0.9013672,-1.184082,-144.043,8.850098,237.915,0,0,0
44,-0.2202148,-1.385254,-0.9956055,-168.5181,12.51221,278.9307,0,0,0
45,-0.1699219,-1.833496,-0.7641602,-189.9414,30.27344,316.5283,0,0,0
46,-0.1401367,-2.249512,-0.512207,-208.313,51.26953,348.5107,0,0,0
47,-0.08203125,-2.530273,-0.3466797,-222.29,57.49512,374.3896,0,0,0
48,0.002441406,-2.697754,-0.09619141,-230.2856,42.41943,394.9585,0,0,0
49,0.03759766,-2.765137,-0.04980469,-229.7974,11.16943,410.8276,0,0,0
