motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
STRONG,10000,3,8,8,32,1000,1000,1000
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,-0.5820312,-1.476562,-0.2592773,2.563477,-168.2739,109.6802,0,0,0
1,-0.6987305,-1.996094,-0.1474609,-5.67627,-114.9902,82.27539,0,0,0
2,-0.7495117,-2.119629,0.05957031,-18.43262,-71.3501,63.35449,0,0,0
3,-0.6508789,-1.89502,0.2382812,-24.6582,-20.32471,42.72461,0,0,0
4,-0.4335938,-1.577637,0.4516602,-24.90234,-9.765625,17.51709,0,0,0
5,-0.2958984,-1.271973,0.4130859,-18.31055,-28.93066,-12.87842,0,0,0
6,-0.2553711,-0.9702148,0.4042969,-9.643555,-57.25098,-45.89844,0,0,0
7,-0.4091797,-0.8413086,0.3149414,-2.319336,-82.4585,-77.33154,0,0,0
8,-0.4780273,-0.8183594,0.2973633,1.403809,-101.8677,-104.6143,0,0,0
9,-0.4443359,-0.8505859,0.3105469,1.281738,-111.0229,-128.479,0,0,0
10,-0.4106445,-0.8417969,0.2885742,-1.098633,-105.7739,-150.6958,0,0,0
11,-0.4223633,-0.809082,0.2885742,-21.42334,-72.63184,-212.0972,0,0,0
12,-0.487793,-0.8754883,0.3935547,-28.32031,-63.41553,-220.2759,0,0,0
13,-0.512207,-0.9633789,0.4189453,-34.11865,-49.68262,-226.3184,0,0,0
14,-0.4492188,-1.04541,0.6254883,-38.26904,-34.30176,-229.7363,0,0,0
15,-0.387207,-1.187988,0.8081055,-38.87939,-18.98193,-231.3843,0,0,0
16,-0.2670898,-1.322754,0.9907227,-35.70557,0.9155273,-232.4219,0,0,0
17,-0.03320312,-1.458496,0.9501953,-27.22168,34.60693,-234.4971,0,0,0
18,0.2133789,-1.609375,0.8725586,-14.64844,76.84326,-239.4409,0,0,0
19,0.2050781,-1.774414,0.8681641,1.77002,119.3237,-247.7417,0,0,0
20,0.1992188,-1.818848,0.8642578,21.05713,142.5171,-255.9814,0,0,0
21,0.1108398,-1.833008,0.796875,40.52734,135.2539,-261.4136,0,0,0
22,0.1464844,-1.808594,0.7836914,56.39648,95.64209,-263.4888,0,0,0
23,0.168457,-1.841797,0.6157227,65.00244,24.04785,-263.916,0,0,0
24,0.199707,-1.852539,0.7006836,60.97412,-81.97021,-262.5122,0,0,0
25,0.1044922,-1.584961,0.4882812,42.72461,-195.3125,-258.3618,0,0,0
26,0.1025391,-1.417969,0.6118164,14.03809,-257.5684,-249.5728,0,0,0
27,0.002929688,-1.360352,0.5200195,-17.27295,-240.1733,-234.8633,0,0,0
28,-0.02636719,-1.151855,0.5307617,-41.80908,-154.0527,-215.332,0,0,0
29,-0.009765625,-0.9487305,0.5292969,-56.09131,-43.27393,-193.7866,0,0,0
30,-0.06445312,-0.7783203,0.6166992,-60.85205,25.08545,-172.7295,0,0,0
31,-0.05029297,-0.574707,0.6943359,-59.26514,24.29199,-151.3062,0,0,0
32,-0.06494141,-0.3964844,0.828125,-55.29785,-23.80371,-129.5776,0,0,0
33,-0.08886719,-0.3432617,0.8740234,-48.64502,-83.61816,-107.605,0,0,0
34,-0.05029297,-0.2329102,0.925293,-39.36768,-126.5259,-85.75439,0,0,0
35,-0.02880859,-0.112793,0.9711914,-27.70996,-133.7891,-65.18555,0,0,0
