motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
STRONG,5000,3,8,8,32,1000,1000,1000
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,-0.3823242,-0.3110352,0.3740234,-30.70068,-11.71875,60.48584,0,0,0
1,-0.6137695,-0.3432617,0.2734375,-11.04736,-18.06641,12.93945,0,0,0
2,-0.8759766,-0.3925781,0.08544922,4.089355,-56.64062,-26.7334,0,0,0
3,-1.084961,-0.4824219,-0.01416016,13.12256,-90.271,-58.22754,0,0,0
4,-1.135254,-0.5883789,-0.02294922,16.78467,-91.61377,-82.03125,0,0,0
5,-1.192383,-0.6503906,-0.001464844,17.63916,-72.93701,-99.91455,0,0,0
6,-1.175293,-0.7075195,0.0234375,17.94434,-48.21777,-114.0747,0,0,0
7,-1.164551,-0.6938477,-0.01904297,18.49365,-26.24512,-126.4038,0,0,0
8,-1.083984,-0.7319336,-0.07080078,19.34814,-15.38086,-138.1836,0,0,0
9,-0.9272461,-0.6987305,-0.08837891,20.01953,-15.99121,-149.9023,0,0,0
10,-0.7895508,-0.6777344,0.009277344,20.56885,-23.37646,-162.0483,0,0,0
11,-0.7563477,-0.7441406,0.02294922,20.93506,-39.85596,-174.4995,0,0,0
12,-0.7290039,-0.8076172,0.06982422,20.93506,-55.60303,-185.791,0,0,0
13,-0.6831055,-0.8422852,0.1147461,19.9585,-70.37354,-194.5801,0,0,0
14,-0.5810547,-0.8847656,0.1337891,18.31055,-78.125,-201.4771,0,0,0
15,-0.4887695,-0.9355469,0.2099609,16.35742,-74.34082,-207.3975,0,0,0
16,-0.4658203,-0.9902344,0.2470703,15.13672,-65.00244,-212.7686,0,0,0
17,-0.3999023,-1.04248,0.2592773,15.19775,-56.82373,-217.041,0,0,0
18,-0.3486328,-1.072754,0.2910156,15.68604,-53.16162,-220.2148,0,0,0
19,-0.2514648,-1.103516,0.2822266,16.23535,-56.33545,-222.8394,0,0,0
20,-0.152832,-1.093262,0.2758789,15.99121,-61.64551,-225.647,0,0,0
21,-0.05908203,-1.036621,0.234375,12.93945,-67.13867,-231.5063,0,0,0
22,0.03466797,-1.041992,0.1933594,10.31494,-66.28418,-233.5205,0,0,0
23,0.08007812,-1.049805,0.246582,7.202148,-62.92725,-235.2295,0,0,0
24,0.3857422,-1.132324,0.3598633,-2.075195,-71.16699,-235.0464,0,0,0
25,0.5244141,-1.133789,0.1308594,-6.591797,-68.48145,-231.8115,0,0,0
26,0.621582,-1.220215,0.1513672,-12.75635,-38.81836,-228.0884,0,0,0
27,0.6479492,-1.230957,0.1899414,-16.47949,2.929688,-224.8535,0,0,0
28,0.5703125,-1.305664,0.2714844,-17.82227,36.9873,-220.8252,0,0,0
29,0.7041016,-1.308105,0.184082,-17.39502,50.72021,-216.7358,0,0,0
30,0.6992188,-1.253906,0.1655273,-17.82227,38.08594,-213.2568,0,0,0
31,0.6977539,-1.153809,0.2929688,-20.62988,2.685547,-209.5947,0,0,0
32,0.6728516,-1.04248,0.3500977,-25.5127,-32.77588,-204.1626,0,0,0
33,0.5737305,-0.8266602,0.347168,-30.70068,-45.28809,-195.9839,0,0,0
34,0.5219727,-0.6035156,0.3920898,-34.24072,-38.69629,-184.9976,0,0,0
35,0.4692383,-0.4106445,0.5087891,-35.46143,-38.14697,-171.5088,0,0,0
36,0.2675781,-0.1889648,0.6181641,-33.99658,-52.24609,-154.6631,0,0,0
37,0.2036133,0.02880859,0.5756836,-29.41895,-63.41553,-133.1177,0,0,0
38,0.1835938,0.2460938,0.574707,-21.60645,-56.39648,-107.9102,0,0,0
39,0.1201172,0.4091797,0.7158203,-9.94873,-38.75732,-80.3833,0,0,0
40,0.03466797,0.5009766,0.8354492,6.591797,-29.60205,-50.04883,0,0,0
41,0.004394531,0.46875,0.8242188,27.89307,-31.18896,-16.35742,0,0,0
42,-0.01660156,0.4741211,0.6958008,52.00195,-37.8418,19.47021,0,0,0
43,0.1000977,-0.4238281,0.8041992,129.8828,-1.77002,129.6997,0,0,0
44,0.1352539,-0.7001953,0.815918,154.48,22.15576,163.6353,0,0,0
45,0.1206055,-1.633789,0.4599609,217.4683,38.63525,272.7661,0,0,0
46,0.05664062,-1.87793,0.3408203,221.8018,50.84229,295.2271,0,0,0
47,-0.003417969,-2.037109,0.2304688,221.2524,60.72998,316.5283,0,0,0
48,-0.1269531,-2.144043,0.1357422,216.3696,68.35938,335.8765,0,0,0
49,-0.006835938,-2.21875,-0.07226562,207.5806,77.20947,353.8208,0,0,0
50,0.02246094,-2.125,-0.309082,193.8477,95.33691,368.8354,0,0,0
51,0.1166992,-2.05957,-0.3134766,173.7671,123.1079,380.7373,0,0,0
52,0.005859375,-1.802734,-0.05859375,146.8506,171.936,390.1978,0,0,0
53,0.01757812,-1.529297,0.2895508,111.7554,252.0142,397.583,0,0,0
54,-0.2661133,-1.371582,0.3500977,66.77246,351.3184,400.3906,0,0,0
55,-0.1489258,-0.8144531,0.6333008,10.80322,471.9849,389.8926,0,0,0
56,-0.3134766,-1.062012,0.7216797,-53.28369,562.6221,357.7271,0,0,0
57,-0.7758789,-0.7119141,0.8022461,-101.8677,527.5269,302.4292,0,0,0
58,-0.7397461,-0.4155273,1.027344,-118.1641,350.1587,234.8633,0,0,0
59,-0.6210938,-0.3398438,1.11084,-103.4546,134.6436,172.3633,0,0,0
60,-0.5908203,-0.2285156,1.302734,-70.00732,18.61572,117.1875,0,0,0
61,-0.965332,-0.4291992,0.6757812,-6.713867,-41.87012,31.43311,0,0,0
62,-1.175781,-0.5166016,0.4262695,13.24463,-59.021,2.258301,0,0,0
63,-1.246582,-0.5791016,0.2182617,24.4751,-76.35498,-18.85986,0,0,0
64,-1.19873,-0.5727539,0.1416016,27.83203,-80.2002,-34.36279,0,0,0
65,-1.097168,-0.5766602,0.1020508,25.81787,-66.58936,-47.48535,0,0,0
66,-0.9570312,-0.5390625,0.1264648,21.66748,-47.05811,-61.21826,0,0,0
