motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
"Free hand - 10 steps - low,normal,quiet,high",1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,0.93801874,-0.32442835,-0.03253588,-4.2388697,-0.52691025,1.0605925,0,0,0
1,0.9367985,-0.32271996,-0.028386908,-4.117125,-0.4051657,1.1214647,0,0,0
2,0.93704253,-0.32247588,-0.025702279,-3.812764,-0.5877825,1.3040816,0,0,0
3,0.9394831,-0.3207675,-0.026922567,-3.9953806,-0.7703992,1.3649538,0,0,0
4,0.9394831,-0.3202794,-0.034244284,-4.117125,-0.4051657,1.2432092,0,0,0
5,0.93655443,-0.32271996,-0.030583424,-4.117125,-0.5877825,1.3649538,0,0,0
6,0.938751,-0.31832692,-0.031071538,-3.9345086,-0.5877825,1.4866983,0,0,0
7,0.9358223,-0.3202794,-0.02667851,-3.6301472,-0.7703992,1.3649538,0,0,0
8,0.9324055,-0.32052344,-0.033024,-3.2649138,-0.7703992,1.425826,0,0,0
9,0.93509007,-0.31759474,-0.030827481,-2.4735744,-0.953016,1.182337,0,0,0
10,0.93191737,-0.3161304,-0.02643445,-2.412702,-0.8921437,1.1214647,0,0,0
11,0.9353342,-0.3202794,-0.033024,-2.7779357,-0.7703992,1.1214647,0,0,0
12,0.93557817,-0.31979126,-0.032779936,-2.7169266,-1.1965355,1.0605012,0,0,0
13,0.93850684,-0.314422,-0.038149197,-3.0212877,-1.0139186,1.1213734,0,0,0
14,0.9414356,-0.31808287,-0.03790514,-3.1430323,-0.95304644,1.1822456,0,0,0
15,0.9382629,-0.3190591,-0.036440797,-3.3865213,-1.074791,1.1213734,0,0,0
16,0.93606627,-0.31930315,-0.040589772,-2.7777987,-1.1965355,1.1213734,0,0,0
17,0.93362576,-0.32223183,-0.037417028,-1.7429703,-1.4400245,1.0605012,0,0,0
18,0.9363104,-0.31686258,-0.038393255,-1.6820982,-1.31828,-0.21781614,0,0,0
19,0.9397272,-0.3212556,-0.031559654,-1.3777369,-2.292236,0.086545125,0,0,0
20,0.93606627,-0.31832692,-0.042054113,-1.621226,-2.4139805,0.33003414,0,0,0
21,0.9404593,-0.32198778,-0.034732398,-1.4386092,-2.292236,0.20828962,0,0,0
22,0.9392391,-0.31881502,-0.03863731,-0.4646531,-1.8661304,0.26916188,0,0,0
23,0.9377747,-0.32101154,-0.039369486,-0.09941961,-1.6835135,0.20828962,0,0,0
24,0.93460196,-0.31637445,-0.031071538,-0.16029185,-1.8661304,0.20828962,0,0,0
25,0.9372866,-0.314422,-0.03009531,-0.5255254,-2.2313638,0.14741737,0,0,0
26,0.9377747,-0.3151542,-0.039369486,-1.1342479,-2.3531084,0.20828962,0,0,0
27,0.9441202,-0.31832692,-0.03888137,-1.3168647,-2.2313638,0.20828962,0,0,0
28,0.938751,-0.32149968,-0.035708625,-1.1342479,-1.1965355,0.14741737,0,0,0
29,0.93435794,-0.32345212,-0.035708625,-0.76901436,-1.0139186,0.025672873,0,0,0
30,0.9316733,-0.32223183,-0.038393255,-0.4646531,-1.0139186,0.14741737,0,0,0
31,0.9294768,-0.31808287,-0.038149197,-0.16029185,-1.4400245,0.20828962,0,0,0
32,0.9392391,-0.32271996,-0.038149197,-0.28203636,-1.6835135,0.20828962,0,0,0
33,0.9367985,-0.3195472,-0.03961354,-0.8298866,-1.2574077,0.086545125,0,0,0
34,0.9402153,-0.32247588,-0.036440797,-1.1342479,-0.5878129,-0.03519938,0,0,0
35,0.938751,-0.32735702,-0.041810054,-0.4646531,-0.7704297,-0.09607163,0,0,0
36,0.93557817,-0.32442835,-0.04254223,-0.40378085,-0.8921742,0.025672873,0,0,0
37,0.93338174,-0.32686892,-0.040589772,-0.2211641,-1.074791,0.3909064,0,0,0
38,0.93362576,-0.3241843,-0.036440797,-0.09941961,-1.0139186,0.45177862,0,0,0
39,0.9363104,-0.3246724,-0.04425063,-0.34290862,-1.0139186,0.45177862,0,0,0
40,0.93460196,-0.32442835,-0.03863731,-0.28203636,-0.5878129,0.99962896,0,0,0
41,0.9358223,-0.32223183,-0.033268053,-0.34290862,-0.64868516,1.1213734,0,0,0
42,0.93704253,-0.3241843,-0.036440797,-0.52481014,-0.648883,1.0600599,0,0,0
43,0.93801874,-0.32491645,-0.039369486,-0.40306562,-0.648883,0.9991876,0,0,0
44,0.93411386,-0.3207675,-0.040589772,-0.64655465,-0.5271385,0.9991876,0,0,0
45,0.92776835,-0.322964,-0.037417028,-0.52481014,-0.10103272,0.9991876,0,0,0
46,0.92728025,-0.32686892,-0.04254223,-0.64655465,-0.5880107,1.0600599,0,0,0
47,0.9287446,-0.32394025,-0.036684856,-0.037832107,-0.892372,1.1209321,0,0,0
48,0.9297208,-0.32223183,-0.043030344,0.3882737,-1.0749888,0.9383154,0,0,0
49,0.9275243,-0.31881502,-0.043762516,0.5708904,-1.135861,0.8165709,0,0,0
50,0.92630404,-0.32320806,-0.047423374,0.8752517,-1.3184777,0.5122096,0,0,0
51,0.92093474,-0.33077383,-0.041810054,4.0406084,-3.0229008,-1.9835527,0,0,0
52,0.92044663,-0.33492282,-0.03961354,5.258054,-3.8751125,-2.531403,0,0,0
53,0.92459565,-0.33248222,-0.044494685,4.831948,-4.4229627,-2.6531475,0,0,0
54,0.9302089,-0.33394656,-0.038393255,5.4406705,-4.179474,-2.8357644,0,0,0
55,0.930697,-0.34175643,-0.036684856,6.4146266,-3.753368,-2.7140198,0,0,0
56,0.92606,-0.3373634,-0.044738743,6.3537545,-3.6316233,-2.4705307,0,0,0
57,0.9285006,-0.3395599,-0.042054113,6.1102653,-4.4229627,-2.287914,0,0,0
58,0.9270362,-0.3407802,-0.037417028,6.4754987,-4.727324,-1.6183193,0,0,0
59,0.9233753,-0.33833963,-0.0483996,7.2059655,-4.727324,-1.557447,0,0,0
60,0.921911,-0.34200048,-0.04864366,7.8755608,-4.9099407,-1.4965748,0,0,0
61,0.9206908,-0.33907178,-0.04400657,9.093006,-5.70128,-1.6183193,0,0,0
62,0.9238635,-0.33882773,-0.0466912,10.614812,-6.370875,-2.1052973,0,0,0
63,0.9111725,-0.3373634,-0.05132829,17.31076,-6.310003,-4.966293,0,0,0
64,0.89335626,-0.3407802,-0.03717297,24.737175,-9.353616,-10.323051,0,0,0
65,0.8914038,-0.33858368,-0.03180371,25.772003,-9.657976,-11.2361355,0,0,0
66,0.8914038,-0.34224454,-0.04254223,26.258982,-10.084083,-11.905729,0,0,0
67,0.8894514,-0.35176274,-0.042054113,26.624214,-10.02321,-12.514452,0,0,0
68,0.8906717,-0.35517955,-0.035952684,27.232937,-10.388443,-12.575325,0,0,0
69,0.8936004,-0.36152506,-0.03180371,28.632998,-10.327572,-12.0883465,0,0,0
70,0.89164793,-0.3668943,-0.03375617,29.424337,-10.02321,-11.418752,0,0,0
71,0.89286816,-0.37055516,-0.034732398,30.154804,-9.901465,-10.444796,0,0,0
72,0.8940885,-0.3617691,-0.044494685,30.27655,-9.840593,-7.766417,0,0,0
73,0.8977493,-0.3607929,-0.034244284,29.667828,-9.840593,-6.1228657,0,0,0
74,0.90360665,-0.3646978,-0.041566,28.632998,-9.597104,-4.5401874,0,0,0
75,0.91044027,-0.35688797,-0.035464566,27.049757,-9.353463,-3.0789032,0,0,0
76,0.9228872,-0.35737607,-0.049375832,25.77144,-9.475207,-1.4353526,0,0,0
77,0.94265586,-0.35688797,-0.057185665,24.553995,-9.596952,-0.1570352,0,0,0
78,0.9563231,-0.35981667,-0.059626237,23.823528,-9.414335,0.6343041,0,0,0
79,0.9716987,-0.3549355,-0.06938853,23.33655,-8.683867,1.0604098,0,0,0
80,0.985854,-0.35932854,-0.06743607,23.762655,-8.075146,1.1821543,0,0,0
81,0.9897589,-0.35688797,-0.06548361,24.371378,-7.64904,0.93866533,0,0,0
82,0.9983009,-0.35273898,-0.06304304,25.22359,-7.709912,0.57343185,0,0,0
83,0.9924435,-0.34444106,-0.065239556,24.310505,-7.4664235,0.7560486,0,0,0
84,0.9907352,-0.34346482,-0.06401927,20.901659,-7.3446784,2.0952382,0,0,0
85,0.9956163,-0.33711934,-0.061334636,18.345026,-7.0403175,3.0691943,0,0,0
86,1.0007415,-0.3327263,-0.06377521,10.249015,-5.0924053,6.6606574,0,0,0
87,1.0034261,-0.33394656,-0.06426333,7.448892,-4.4836826,7.9389744,0,0,0
88,1.0009855,-0.32833326,-0.06670389,4.587896,-3.9358327,9.095547,0,0,0
89,1.0000093,-0.3246724,-0.06768012,1.8486446,-3.6314714,10.069503,0,0,0
90,0.98756236,-0.32369617,-0.062310863,-1.0732235,-2.7792597,11.043459,0,0,0
91,0.9651091,-0.3212556,-0.06548361,-3.082008,-1.9879205,11.895671,0,0,0
92,0.94582856,-0.31881502,-0.06719201,-5.212537,-1.7444314,13.113116,0,0,0
93,0.9111725,-0.3149101,-0.054501034,-8.499639,-3.3879824,15.061028,0,0,0
94,0.8967731,-0.3156423,-0.055721316,-8.743128,-3.9358327,15.730623,0,0,0
95,0.8831059,-0.31124926,-0.0483996,-8.317021,-5.7011275,17.00894,0,0,0
96,0.88139755,-0.31417796,-0.04888772,-6.977832,-6.005489,16.704578,0,0,0
97,0.8870108,-0.29684988,-0.0483996,-3.9950917,-6.248978,14.939284,0,0,0
98,0.8955528,-0.28391483,-0.05132829,-3.325497,-6.1272335,13.23486,0,0,0
